trajectory_id,case_id,nfp,n_base_coils,initial_total,initial_volume_qs,initial_coil,best_total,best_volume_qs,best_coil,delta_volume_qs,delta_coil
axisflip_case_0000036,36,7,2,38.69557490696186,19.65239958894447,71.1580909467885,76.99285946371909,57.59328817886973,68.77116652806536,37.94088858992526,-2.38692441872314
axisflip_case_0000041,41,5,3,5.726131390600449,11.438980820173379,68.93945600375795,78.67668102170425,59.268053405796714,67.11459857973051,47.82907258562334,-1.8248574240274422
axisflip_case_0000042,42,6,3,22.207762239605056,15.12934520784969,71.46081994817467,79.44507573225808,60.383396384717,70.84097581843535,45.254051176867314,-0.6198441297393202
axisflip_case_0000043,43,7,3,17.867316765404315,15.151484441383351,64.7142105423721,79.30479384110008,65.0200308021413,64.88593242616348,49.86854636075795,0.17172188379137765
axisflip_case_0000044,44,8,3,45.32548447855552,25.67437569575478,64.09678963135909,81.35924412086506,65.89266210921758,64.85443818186772,40.218286413462806,0.7576485505086339
axisflip_case_0000048,48,5,4,15.04985342743403,20.046786980685308,71.68775418511284,80.3210017221688,64.47110767036594,70.36935895752202,44.42432068968063,-1.3183952275908126
axisflip_case_0000049,49,6,4,66.40570217965467,30.815228398650067,66.31483782292878,79.65111587238934,65.40485699856443,66.40852715352104,34.58962859991436,0.09368933059225526
axisflip_case_0000050,50,7,4,66.14575998680404,33.432455260005355,59.65756519871797,79.9008223512616,64.54073644190399,62.79774197655874,31.108281181898633,3.1401767778407716
axisflip_case_0000051,51,8,4,75.83358908624656,52.48010257736655,64.63942576891219,81.3521216133793,66.85928258487563,62.615938494170905,14.379180007509078,-2.023487274741285
axisflip_case_0000052,52,4,1,1.1560879085023767,2.4521986300537275,79.72118277208887,4.468513082524996,2.1245488363100655,79.39973633674772,-0.327649793743662,-0.32144643534114437
axisflip_case_0000055,55,7,1,6.716597896444428,4.24492353464928,74.67530495494998,13.5002374326502,11.236087058265204,77.66262143886937,6.991163523615923,2.987316483919386
axisflip_case_0000056,56,8,1,4.699970713336399,2.013211120678935,76.33520596880506,66.53134334146446,28.1280659138538,71.99697500886471,26.114854793174864,-4.338230959940347
axisflip_case_0000061,61,6,2,19.845623761113508,14.954275981172716,74.12293195175951,76.77361065761586,51.884949568386006,74.10161612103967,36.93067358721329,-0.021315830719842666
axisflip_case_0000062,62,7,2,37.984850453574346,21.299058098067057,67.18289700733337,77.02347110190821,53.15205846333394,73.8064107350196,31.85300036526688,6.62351372768623
axisflip_case_0000063,63,8,2,61.814361770745265,25.483143736585284,62.577558983079406,78.95490694982013,58.97169994274245,66.06530412002265,33.48855620615716,3.4877451369432393
axisflip_case_0000066,66,4,3,4.943364326375447,12.216845010505114,73.14451704641719,11.981651795921165,16.410743066490866,72.53024556699496,4.193898055985752,-0.6142714794222286
axisflip_case_0000067,67,5,3,7.320863051996663,13.241252631149317,73.46354927866591,74.35965698672214,49.55940033356763,67.72306558399985,36.318147702418315,-5.740483694666054
axisflip_case_0000068,68,6,3,36.98240697865828,24.487135735073362,69.4809376574993,79.26732397168188,62.583193665268546,68.04724800964397,38.09605793019519,-1.4336896478553314
axisflip_case_0000069,69,7,3,66.2682229289455,35.79530297140906,61.38804218958976,79.10399300207004,58.74483820022226,68.66239317415635,22.949535228813204,7.274350984566588
axisflip_case_0000070,70,8,3,59.58347709851161,24.493592558631416,61.92893732097692,81.1515759604094,64.56426549307281,65.28512083199314,40.07067293444139,3.3561835110162193
axisflip_case_0000075,75,6,4,19.600135042752445,16.794120749484495,64.01972047838257,80.41022442502609,65.52687890080962,68.38010710050747,48.73275815132513,4.360386622124906
axisflip_case_0000076,76,7,4,67.47356759192235,36.54209230871041,65.87568458987212,79.83952370627966,61.93123855359719,62.953811707293625,25.38914624488678,-2.921872882578498
axisflip_case_0000077,77,8,4,58.60904284214138,35.509449656257644,63.64514271258166,78.73335878707522,59.951417530339945,63.503727844249646,24.4419678740823,-0.14141486833201355
axisflip_case_0000080,80,6,1,4.007174246720354,2.7953244692031176,78.74646275923381,5.180672148525514,2.832529642302416,79.445114279846,0.037205173099298605,0.6986515206121879
axisflip_case_0000086,86,5,2,2.097740648094121,2.561148557474729,73.1644091316931,19.89596752052478,18.652330314797982,73.09137407290362,16.091181757323255,-0.07303505878948613
axisflip_case_0000089,89,8,2,36.33688008073871,28.673654792669147,69.26413625038033,79.79924809644953,61.07713334545046,69.03399955901962,32.403478552781316,-0.23013669136071258
axisflip_case_0000093,93,5,3,14.456985348352607,15.342009413315566,70.58460762787766,77.8002526413022,57.84833940570997,73.96557444308634,42.506329992394406,3.38096681520868
axisflip_case_0000095,95,7,3,61.4782648678742,28.61947527275559,66.32848002521261,78.77124430377984,59.40902871381798,68.60691660211424,30.78955344106239,2.278436576901626
axisflip_case_0000096,96,8,3,5.549826472647687,7.753506169898385,61.29475315202828,78.76219582874921,59.4241770087214,69.65264860615332,51.670670838823014,8.357895454125043
axisflip_case_0000103,103,8,4,49.36019343318895,34.56206388753033,66.03506784140293,80.855754425377,64.17490001868096,63.760417127031666,29.61283613115063,-2.274650714371269
axisflip_case_0000115,115,8,2,50.802352015451866,19.41450325435351,64.56567676377254,74.94436552939398,51.87174516413433,68.78117657146686,32.45724190978082,4.215499807694314
axisflip_case_0000122,122,8,3,65.09292674162246,31.775535024089102,62.49880052711032,79.74477838832799,62.25387410166523,67.51750858216755,30.47833907757613,5.018708055057232
