case_id,worker_index,nfp,n_base_coils,status,score,iota_min,iota_max,score_wall_s
33,3,4,2,ok,2.4100757953364114,0.6474022550107835,0.6673187762498856,1.9412451907992363
34,4,5,2,ok,5.810274203316808,1.076155662536621,1.2451395688149365,2.2336892280727625
35,5,6,2,ok,37.74062780634582,1.1150293115678231,1.1724809110164642,2.4803678733296692
36,0,7,2,ok,38.69557490696186,0.9542462825775146,1.0091369806765005,2.758350405842066
37,1,8,2,no_surface,0.27333997928025483,nan,nan,2.877482619136572
38,2,2,3,no_axis,0.11948903942991958,nan,nan,2.849107325077057
39,3,3,3,no_axis,0.12178010124554568,nan,nan,3.7125758407637477
40,4,4,3,no_surface,0.26466475766273945,nan,nan,2.4011481436900795
41,5,5,3,ok,5.726131390600449,0.7178342342376709,0.8772660651858465,2.9006002666428685
42,0,6,3,ok,22.207762239605056,1.3147167563438416,1.421989555043981,3.3093671910464764
43,1,7,3,ok,17.867316765404315,1.3204442265840601,1.3578778803348541,3.680360823869705
44,2,8,3,ok,45.32548447855552,0.8458103984594345,0.8720733349863262,4.073244918137789
45,3,2,4,no_axis,0.10992469265982562,nan,nan,3.4373580338433385
46,4,3,4,no_axis,0.11585240679862241,nan,nan,4.510974963661283
47,5,4,4,no_surface,0.25425851340799066,nan,nan,2.918590254150331
48,0,5,4,ok,15.04985342743403,1.421254651083895,1.4945354461669922,3.522966843098402
49,1,6,4,ok,66.40570217965467,0.9987400998322944,1.018475279211998,4.135130535811186
50,2,7,4,ok,66.14575998680404,1.11008258695946,1.173885777592659,4.654480699449778
51,3,8,4,ok,75.83358908624656,1.1765646403350583,1.2241043895483017,5.299013304058462
52,4,4,1,ok,1.1560879085023767,0.40719349348555856,0.44201895594596863,1.311471251770854
53,5,5,1,no_axis,0.1268817454588463,nan,nan,2.6506567359901965
54,0,6,1,no_axis,0.1264579665460461,nan,nan,2.9042148031294346
55,1,7,1,ok,6.716597896444428,1.0348976850509644,1.1276166193758395,1.7913605645298958
56,2,8,1,ok,4.699970713336399,1.8518729361406385,1.873633090828686,1.8823558576405048
57,3,2,2,no_axis,0.12416238093265204,nan,nan,2.203277030028403
58,4,3,2,no_surface,0.25335434877839347,nan,nan,3.1731790509074926
59,5,4,2,no_surface,0.28480152489925126,nan,nan,1.8372172280214727
60,0,5,2,no_axis,0.12262577131636915,nan,nan,3.9483228884637356
61,1,6,2,ok,19.845623761113508,1.4122490211564027,1.4405822530388832,2.4651650078594685
62,2,7,2,ok,37.984850453574346,0.8086309611399112,0.8292593881487846,2.7126736789941788
63,3,8,2,ok,61.814361770745265,1.069059930119724,1.1346556509137222,3.04224169626832
64,4,2,3,no_axis,0.12381322721803396,nan,nan,2.9381333091296256
65,5,3,3,no_surface,0.2648239152180052,nan,nan,1.9788812058977783
66,0,4,3,ok,4.943364326375447,0.710891455411911,0.7596834952199067,2.484190884977579
67,1,5,3,ok,7.320863051996663,0.6567813158035278,0.6934587694916684,2.8679218851029873
68,2,6,3,ok,36.98240697865828,0.8051343560218811,0.8819800546512047,3.2544882521033287
69,3,7,3,ok,66.2682229289455,0.9932991696794422,1.0150257641532954,3.7509335321374238
70,4,8,3,ok,59.58347709851161,1.474057735393526,1.4814077011850522,4.190203375183046
71,5,2,4,no_axis,0.11835096984730527,nan,nan,3.428785332944244
72,0,3,4,no_axis,0.11791737722101399,nan,nan,4.445941403508186
73,1,4,4,no_surface,0.2584491024596736,nan,nan,2.8814408481121063
74,2,5,4,no_axis,0.11380236536549496,nan,nan,6.463421177119017
75,3,6,4,ok,19.600135042752445,1.0081761887221277,1.0424793064594269,4.0985654052346945
76,4,7,4,ok,67.47356759192235,1.0922931949834471,1.1227866634726524,4.6895016259513795
77,5,8,4,ok,58.60904284214138,0.9350527995512945,1.0016139149665833,5.2994538876228034
78,0,4,1,no_surface,0.32991202487549365,nan,nan,1.2073218934237957
79,1,5,1,no_surface,0.2997879861632268,nan,nan,1.4187247678637505
80,2,6,1,ok,4.007174246720354,0.8806168735027313,0.9214701447953899,1.6049486696720123
81,3,7,1,no_surface,0.28128926638659874,nan,nan,1.7102209557779133
82,4,8,1,ok,6.314268527767447,1.7624485611713578,1.920445442199707,1.9329106602817774
83,5,2,2,no_axis,0.1259858638908953,nan,nan,2.1949075488373637
84,0,3,2,flux_rejected,0.2714450185229988,nan,nan,1.577280681580305
85,1,4,2,no_axis,0.11634329617573212,nan,nan,3.3905137553811073
86,2,5,2,ok,2.097740648094121,0.7704322785139084,0.7980197872016714,2.1402695402503014
87,3,6,2,no_surface,0.2783545896967937,nan,nan,2.3825773037970066
89,5,8,2,ok,36.33688008073871,0.7520052790641785,0.7966293084998206,3.048003911972046
90,0,2,3,no_axis,0.12234840980836317,nan,nan,2.8959299474954605
91,1,3,3,no_axis,0.11979642229228554,nan,nan,3.657802827656269
92,2,4,3,no_axis,0.11411818314773092,nan,nan,4.39280303940177
93,3,5,3,ok,14.456985348352607,0.9457597786631479,0.9765495359897614,2.9052464570850134
95,5,7,3,ok,61.4782648678742,1.0090453326702118,1.0677659992515118,3.7213349137455225
96,0,8,3,ok,5.549826472647687,0.8380355834960938,1.1382604709259452,4.128386605530977
97,1,2,4,no_axis,0.11898576954533711,nan,nan,3.3905800879001617
98,2,3,4,no_axis,0.11803749901885784,nan,nan,4.391451716423035
99,3,4,4,ok,2.9684252486622613,0.7072872467457989,0.8446072936058044,3.0016742208972573
101,5,6,4,ok,33.88383067133513,0.7383080422878265,0.8020364831503054,4.164583430159837
102,0,7,4,ok,59.49331113356751,0.9609704507613595,1.0121348202228546,4.734635502099991
103,1,8,4,ok,49.36019343318895,0.8543033301008726,0.8900741338729858,5.149825282394886
104,2,4,1,no_surface,0.2804636020005566,nan,nan,1.1911853663623333
109,1,2,2,no_axis,0.12195268611668515,nan,nan,2.166292130947113
110,2,3,2,no_axis,0.12411329157103418,nan,nan,2.8543106876313686
115,1,8,2,ok,50.802352015451866,1.0570487710129841,1.103715419769287,2.9494981728494167
116,2,2,3,no_axis,0.12107316653814154,nan,nan,2.854890201240778
121,1,7,3,ok,49.682910638707654,1.3958734901377279,1.527622640132904,3.6276691369712353
122,2,8,3,ok,65.09292674162246,1.274917452056432,1.3118858687187784,4.083682112395763
128,2,7,4,no_axis,0.10940138750951563,nan,nan,8.581008430570364
134,2,8,1,ok,7.09911019765478,1.1735621248242123,1.184237226843834,1.9083577245473862
