accepted,alpha_normal_floor_l2,alpha_nu_wall_s,alpha_validation_l2,alpha_wall_s,case_id,check_dense_normal_field_p95,check_dense_relative_l2,check_normal_nonzero,check_solver_converged,check_toroidal_winding,cpu_solve_status,cpu_solve_wall_s,face_iota,face_qa,face_qh,face_qp,final_boozer_l2,final_dense_l2,final_normal_p95,has_acceptance_checks,initial_boozer_l2,initial_iota,inverse_aspect_ratio,iota_abs_error,iota_relative_error,iteration,n_base_coils,native_iota_mid,native_psi_angle_l2,native_psi_angle_p95,native_psi_train_rms,native_qa,native_qh,native_qp,native_score,nfp,optimizer_wall_s,prepare_failure_stage,prepare_status,prepare_wall_s,solved_regular,source_psi_angle_l2,source_psi_angle_p95,source_psi_train_rms,source_psi_validation_rms,source_psi_wall_s,surface_name,target_s,trajectory_id,validation_status,validation_wall_s,volume_m3
True,2.981627198596539e-06,76.05665458738804,0.019435473915881026,108.71332126483321,p107_37034_3_000027_step0050,True,True,True,True,True,ok,6.064664870034903,1.1896067682139055,0.00998724309263343,0.00073217473611331,0.010345459058815516,4.852661735402488e-07,4.852661735402488e-07,7.536271803510795e-07,True,0.0023422808843989256,1.1890329271554947,0.04151522986524545,0.0005738410584108511,0.0004823787773773557,50,2,1.169556169147724,1.1424309735078264e-06,6.299182090618893e-06,5.997769795729594e-05,0.5993208512275701,0.028849831360786934,0.07326737757112063,80.3102805458412,8,306.59921668609604,none,ok,191.50584066659212,True,1.1562370768940948e-06,6.4525709746124936e-06,5.995245493910949e-05,6.168111289993538e-05,6.731877867132425,adaptive_edge,0.7683003558802637,p107_37034_3_000027,accepted,1.1268146059010178,0.03171265412817218
True,2.6641409632446905e-06,68.89657496288419,0.01525938562935628,114.31737873330712,p107_37034_3_000027_step0075,True,True,True,True,True,ok,6.300927431089804,1.192416313341188,0.0059963487097536225,0.00038735055174112404,0.006271695245169186,1.5840593987225276e-07,1.5840593987225276e-07,1.7507520586542677e-07,True,0.0004689552747385923,1.192540784821792,0.03221258282726247,0.0001244714806039049,0.00010438592562955793,75,2,1.1887700280334335,1.0846406473872627e-06,5.59899885655539e-06,5.11869763628225e-05,0.5889688845418009,0.02451712706836246,0.07313410202794222,81.81444264264194,8,456.45285292505287,none,ok,195.36416781321168,True,1.0321113900374796e-06,5.808348248345282e-06,5.120716559192419e-05,5.2423021113143524e-05,12.145463943481445,fixed_probe,0.4480937434599968,p107_37034_3_000027,accepted,1.174876220524311,0.01898231349016431
True,2.6641409632446905e-06,68.89657496288419,0.01525938562935628,114.31737873330712,p107_37034_3_000027_step0075,True,True,True,True,True,ok,6.022233437979594,1.2079102059327254,0.00988099314390608,0.0006084641526946108,0.010360432912451489,2.414880993465726e-07,2.414880993465726e-07,3.2469759653510153e-07,True,0.0019111260963283721,1.2077070754021406,0.041316547014198096,0.00020313053058473862,0.0001681669130594729,75,2,1.1887700280334335,1.0846406473872627e-06,5.59899885655539e-06,5.11869763628225e-05,0.5889688845418009,0.02451712706836246,0.07313410202794222,81.81444264264194,8,456.45285292505287,none,ok,195.36416781321168,True,1.0321113900374796e-06,5.808348248345282e-06,5.120716559192419e-05,5.2423021113143524e-05,12.145463943481445,adaptive_edge,0.7309311993732858,p107_37034_3_000027,accepted,1.1680935733020306,0.03127570516861381
True,2.4951272889577765e-06,69.12701661139727,0.012853069130132235,114.21533367782831,p107_37034_3_000027_step0100,True,True,True,True,True,ok,6.519973692949861,1.2456734919710417,0.006204112232378706,0.00038209829066092224,0.006496246677631464,1.6568262644147718e-07,1.6568262644147718e-07,1.8784009602584422e-07,True,0.00044498019441655136,1.2458167000873044,0.03236147363288657,0.00014320811626267194,0.00011496440855947917,100,2,1.241588503814098,1.0507096342602906e-06,5.273767420775096e-06,4.700263428906173e-05,0.5933250366425703,0.02257644563525616,0.07425193380818049,82.6106706442537,8,606.5203042419162,none,ok,195.34612096473575,True,9.751849839808303e-07,5.415924196680111e-06,4.6985496586655224e-05,4.8143479413062325e-05,11.99848211556673,fixed_probe,0.4480937434599968,p107_37034_3_000027,accepted,1.1846226900815964,0.01944374047336046
True,2.4951272889577765e-06,69.12701661139727,0.012853069130132235,114.21533367782831,p107_37034_3_000027_step0100,True,True,True,True,True,ok,6.655084935948253,1.2619346633696298,0.010144621417589298,0.0006016324622024837,0.010639212880000887,2.561551251706931e-07,2.561551251706931e-07,3.5910995144380913e-07,True,0.0016917720002186398,1.2618819591589272,0.041334988793252085,5.270421070258102e-05,4.1764611300754464e-05,100,2,1.241588503814098,1.0507096342602906e-06,5.273767420775096e-06,4.700263428906173e-05,0.5933250366425703,0.02257644563525616,0.07425193380818049,82.6106706442537,8,606.5203042419162,none,ok,195.34612096473575,True,9.751849839808303e-07,5.415924196680111e-06,4.6985496586655224e-05,4.8143479413062325e-05,11.99848211556673,adaptive_edge,0.7251580735294633,p107_37034_3_000027,accepted,1.1684233658015728,0.03176026295428084
True,2.4135115400386575e-06,68.92052433639765,0.009123033589452418,114.67919872328639,p107_37034_3_000027_step0150,True,True,True,True,True,ok,6.794655761215836,1.396712076917982,0.006739994708415448,0.00033167398796438304,0.00701710013952636,2.4737193104412966e-07,2.4737193104412966e-07,3.0388698178650547e-07,True,0.0004382699545447883,1.3968725458344924,0.03285184726620307,0.0001604689165104478,0.00011489047682937083,150,2,1.3914763258396832,1.0519504924427725e-06,5.061939844124549e-06,4.4349601185428844e-05,0.617602692787226,0.020110948976046306,0.07735472551461658,83.58522998781744,8,910.5352258118801,none,ok,195.601755220443,True,9.763005251849452e-07,5.314646100004467e-06,4.434553425834368e-05,4.5204296708684934e-05,11.99763398990035,fixed_probe,0.4480937434599968,p107_37034_3_000027,accepted,1.1830096617341042,0.020637963708673945
True,2.4135115400386575e-06,68.92052433639765,0.009123033589452418,114.67919872328639,p107_37034_3_000027_step0150,True,True,True,True,True,ok,6.152590601006523,1.4157095421861665,0.011018809471954697,0.0005262407122969013,0.011482272828505951,5.0437492707282e-07,5.0437492707282e-07,6.925063590693703e-07,True,0.0014216329020649474,1.4159293142147362,0.04194941731436797,0.00021977202856970912,0.00015523807816561922,150,2,1.3914763258396832,1.0519504924427725e-06,5.061939844124549e-06,4.4349601185428844e-05,0.617602692787226,0.020110948976046306,0.07735472551461658,83.58522998781744,8,910.5352258118801,none,ok,195.601755220443,True,9.763005251849452e-07,5.314646100004467e-06,4.434553425834368e-05,4.5204296708684934e-05,11.99763398990035,adaptive_edge,0.7251137107593019,p107_37034_3_000027,accepted,1.1583839505910873,0.03368688854424642
True,4.268518695474218e-06,68.53788327798247,0.017300422167478555,114.2617303058505,p107_37034_3_000027_step0200,True,True,True,True,True,ok,6.136406606063247,1.7069003022530116,0.00817015486733219,0.0005172981859648842,0.007894960545654944,3.878459589717298e-07,3.878459589717298e-07,5.37278517171465e-07,True,0.0007658107233143391,1.7070014785735788,0.03394422042747345,0.00010117632056716452,5.927488584635993e-05,200,2,1.6918507567950845,1.9469604934473997e-06,8.43752952314743e-06,7.57860282835528e-05,0.6185013895826809,0.023558766666428445,0.07368029862864572,81.72855177210408,8,1215.2818642740604,none,ok,194.50216511636972,True,1.7960895493266624e-06,8.32642592685569e-06,7.577755292946976e-05,7.798334637332117e-05,11.69827788695693,fixed_probe,0.4480937434599968,p107_37034_3_000027,accepted,1.1563718356192112,0.02230569454834021
True,4.268518695474218e-06,68.53788327798247,0.017300422167478555,114.2617303058505,p107_37034_3_000027_step0200,True,True,True,True,True,ok,6.7162087159231305,1.7184761210366752,0.010568211898792913,0.0005433044759257122,0.010346651950295395,6.345343345977288e-07,6.345343345977288e-07,8.888657541139398e-07,True,0.002495491915253921,1.7189316246658564,0.038822830556172146,0.00045550362918111986,0.00026506253046235876,200,2,1.6918507567950845,1.9469604934473997e-06,8.43752952314743e-06,7.57860282835528e-05,0.6185013895826809,0.023558766666428445,0.07368029862864572,81.72855177210408,8,1215.2818642740604,none,ok,194.50216511636972,True,1.7960895493266624e-06,8.32642592685569e-06,7.577755292946976e-05,7.798334637332117e-05,11.69827788695693,adaptive_edge,0.5808663306715208,p107_37034_3_000027,accepted,1.1527711786329746,0.029214793342029095
True,1.931408246025664e-05,64.31464710459113,0.1827120434200433,114.28778213262558,p107_37034_3_000033_step0000,True,True,True,True,True,ok,7.93211531592533,1.6255187296349842,0.0009956840229350275,0.0001833306640343912,0.0008548506827315628,2.386024703061886e-05,2.386024703061886e-05,3.7596706696744544e-05,True,0.000578983965258074,1.6221943239364625,0.02058202183943335,0.0033244056985217707,0.00204513527768965,0,3,1.5689230062128423,4.614355270363755e-06,2.8251262063369484e-05,0.0001923217595501182,0.14997356750294963,0.02533544151557759,0.028207478286643443,78.38644790549884,4,0.0,none,ok,190.29948538914323,True,4.551614628272895e-06,2.8213132675849832e-05,0.0001922983929092368,0.00019551164231321498,11.69180129468441,fixed_probe,0.14331904827976302,p107_37034_3_000033,accepted,1.1550394855439663,0.009413999123867638
