case_id,trajectory_id,iteration,nfp,n_base_coils,surface_name,target_s,accepted,solved_regular,native_global_qh,native_edge_shell_qh,equal_s_status,equal_s_area_qh,equal_s_raw_qh,equal_s_normal_rms,equal_s_normal_p95,equal_s_s_residual_rms,equal_s_root_residual_max,equal_s_root_valid,equal_s_area_ess,equal_s_wall_s,face_qh,face_iota,equal_s_iota
student_37035_0_000031_step0100,student_37035_0_000031,100,5,2,adaptive_edge,0.5794084302795071,True,True,0.009909780142309425,0.013055493692199435,ok,0.2450473287609721,1.249501111105983,2.2022468778451334e-06,4.3306534686162555e-06,1.2446903865827637e-15,3.3306690738754696e-16,True,0.9535907339864232,0.7717125341296196,8.563916421999466e-05,1.1789073813585496,1.1833361983299255
student_37035_0_000031_step0150,student_37035_0_000031,150,5,2,fixed_probe,0.4252901954790367,True,True,0.00814648173456539,nan,ok,0.2065311721940942,1.0531064771828775,7.060445713852285e-06,1.432776677043029e-05,1.0769416362970759e-15,2.7755575615628914e-16,True,0.9401582308763993,0.7699536606669426,3.909818443024862e-05,1.2235874489377985,1.2204066542694827
student_37035_0_000031_step0150,student_37035_0_000031,150,5,2,adaptive_edge,0.5185371646819728,True,True,0.00814648173456539,0.011167946508474214,ok,0.22844131263253736,1.164826710824058,1.3136685198007292e-05,2.0365106724340915e-05,1.2114618721992874e-15,3.3306690738754696e-16,True,0.9395002479536607,0.7917685098946095,4.985411386539321e-05,1.224621248538286,1.2279622554779053
student_37035_0_000031_step0200,student_37035_0_000031,200,5,2,fixed_probe,0.4252901954790367,False,False,0.006299940219798762,nan,ok,0.2085676933567627,1.0634907383311691,3.7038961091611007e-05,6.534832371311018e-05,1.0539533724243045e-15,2.7755575615628914e-16,True,0.9339223229833649,0.772732712328434,135.9236281381867,5.4709120661930415,1.245035397531122
student_37035_0_000031_step0200,student_37035_0_000031,200,5,2,adaptive_edge,0.43835139397912387,False,False,0.006299940219798762,0.008544900707714855,ok,0.21190228003273234,1.080493860861705,4.038560240215277e-05,7.043431701452655e-05,1.0643814998596177e-15,2.7755575615628914e-16,True,0.9338616918256104,0.7725034952163696,5.386841835862104,0.5809075159752364,1.24679234623909
student_37035_0_000033_step0000,student_37035_0_000033,0,3,4,fixed_probe,0.07232972204316414,True,True,0.02741846623563886,nan,ok,0.17079410760385086,0.540098390964052,0.00011483391172901222,0.00020618704871200777,7.150560856723856e-15,7.638334409421077e-14,True,0.7570381023398096,0.7778433002531528,0.00034152623099923616,1.4481373976449434,1.4196143651809692
student_37035_0_000033_step0000,student_37035_0_000033,0,3,4,adaptive_edge,0.11301519069244395,True,True,0.02741846623563886,0.02743888252174908,ok,0.1732819785882317,0.5479657297993404,0.00012151218773047839,0.00018804046507739342,6.191465396634028e-16,8.326672684688674e-17,True,0.7237275289894773,0.7773216590285301,0.00035100030486904426,1.4518803773725613,1.430059127509594
student_37035_0_000033_step0010,student_37035_0_000033,10,3,4,fixed_probe,0.07232972204316414,False,True,0.022002246021389987,nan,ok,0.15532492580718327,0.49118054294736657,0.0009614612635524347,0.0002213469503612222,0.00950891493382284,0.06704478876781904,False,0.46683732720910515,0.7887803316116333,0.0003144558241948382,1.4976587377606805,1.1103559732437134
student_37035_0_000033_step0010,student_37035_0_000033,10,3,4,adaptive_edge,0.04063785682850586,False,False,0.022002246021389987,0.022929981073848457,ok,0.14566818665782214,0.4606432524652685,0.0006241998767700792,0.0002694400844401183,1.4856978817606513e-06,0.0003387305391785028,False,0.4802414788591002,0.785187266767025,35.433786346454845,2.75202614467734,1.3984506552160805
student_37035_0_000033_step0025,student_37035_0_000033,25,3,4,fixed_probe,0.07232972204316414,False,True,0.022002246021389997,nan,ok,0.15532492580718327,0.49118054294736657,0.0009614612635524347,0.0002213469503612222,0.00950891493382284,0.06704478876781904,False,0.46683732720910515,0.775893323123455,0.0003144558241948382,1.4976587377606805,1.1103559732437134
student_37035_0_000033_step0025,student_37035_0_000033,25,3,4,adaptive_edge,0.04063785682850586,False,False,0.022002246021389997,0.022929981073848492,ok,0.14566818665782214,0.4606432524652685,0.0006241998767700792,0.0002694400844401183,1.4856978817606513e-06,0.0003387305391785028,False,0.4802414788591002,0.7772551104426384,35.433786346454845,2.75202614467734,1.3984506552160805
student_37035_0_000033_step0050,student_37035_0_000033,50,3,4,fixed_probe,0.07232972204316414,False,True,0.022002246021390007,nan,ok,0.15532492580718327,0.49118054294736657,0.0009614612635524347,0.0002213469503612222,0.00950891493382284,0.06704478876781904,False,0.46683732720910515,0.7746195644140244,0.0003144558241948382,1.4976587377606805,1.1103559732437134
student_37035_0_000033_step0050,student_37035_0_000033,50,3,4,adaptive_edge,0.04063785682850586,False,False,0.022002246021390007,0.022929981073848454,ok,0.14566818665782214,0.4606432524652685,0.0006241998767700792,0.0002694400844401183,1.4856978817606513e-06,0.0003387305391785028,False,0.4802414788591002,0.7716831043362617,35.433786346454845,2.75202614467734,1.3984506552160805
student_37035_0_000033_step0075,student_37035_0_000033,75,3,4,fixed_probe,0.07232972204316414,False,True,0.02200224602139005,nan,ok,0.15532492580718327,0.49118054294736657,0.0009614612635524347,0.0002213469503612222,0.00950891493382284,0.06704478876781904,False,0.46683732720910515,0.7756830863654613,0.0003144558241948382,1.4976587377606805,1.1103559732437134
student_37035_0_000033_step0075,student_37035_0_000033,75,3,4,adaptive_edge,0.04063785682850586,False,False,0.02200224602139005,0.022929981073848447,ok,0.14566818665782214,0.4606432524652685,0.0006241998767700792,0.0002694400844401183,1.4856978817606513e-06,0.0003387305391785028,False,0.4802414788591002,0.7769212611019611,35.433786346454845,2.75202614467734,1.3984506552160805
student_37035_0_000033_step0100,student_37035_0_000033,100,3,4,fixed_probe,0.07232972204316414,False,True,0.02200224602139008,nan,ok,0.15532492580718327,0.49118054294736657,0.0009614612635524347,0.0002213469503612222,0.00950891493382284,0.06704478876781904,False,0.46683732720910515,0.7715869545936584,0.0003144558241948382,1.4976587377606805,1.1103559732437134
student_37035_0_000033_step0100,student_37035_0_000033,100,3,4,adaptive_edge,0.04063785682850586,False,False,0.02200224602139008,0.022929981073848475,ok,0.14566818665782214,0.4606432524652685,0.0006241998767700792,0.0002694400844401183,1.4856978817606513e-06,0.0003387305391785028,False,0.4802414788591002,0.7673698142170906,35.433786346454845,2.75202614467734,1.3984506552160805
student_37035_0_000033_step0150,student_37035_0_000033,150,3,4,fixed_probe,0.07232972204316414,False,True,0.022002246021389973,nan,ok,0.15532492580718327,0.49118054294736657,0.0009614612635524347,0.0002213469503612222,0.00950891493382284,0.06704478876781904,False,0.46683732720910515,0.7883765362203121,0.0003144558241948382,1.4976587377606805,1.1103559732437134
student_37035_0_000033_step0150,student_37035_0_000033,150,3,4,adaptive_edge,0.04063785682850586,False,False,0.022002246021389973,0.022929981073848457,ok,0.14566818665782214,0.4606432524652685,0.0006241998767700792,0.0002694400844401183,1.4856978817606513e-06,0.0003387305391785028,False,0.4802414788591002,0.7669743075966835,35.433786346454845,2.75202614467734,1.3984506552160805
student_37035_0_000033_step0200,student_37035_0_000033,200,3,4,fixed_probe,0.07232972204316414,False,True,0.02200224602138998,nan,ok,0.15532492580718327,0.49118054294736657,0.0009614612635524347,0.0002213469503612222,0.00950891493382284,0.06704478876781904,False,0.46683732720910515,0.7783945649862289,0.0003144558241948382,1.4976587377606805,1.1103559732437134
student_37035_0_000033_step0200,student_37035_0_000033,200,3,4,adaptive_edge,0.04063785682850586,False,False,0.02200224602138998,0.02292998107384849,ok,0.14566818665782214,0.4606432524652685,0.0006241998767700792,0.0002694400844401183,1.4856978817606513e-06,0.0003387305391785028,False,0.4802414788591002,0.7734563052654266,35.433786346454845,2.75202614467734,1.3984506552160805
student_37035_0_000035_step0000,student_37035_0_000035,0,4,2,fixed_probe,0.2806688855659508,True,True,0.020024112442500845,nan,ok,0.17015562215542218,0.7015696029394942,6.540767177835335e-06,1.0246917428511974e-05,8.190944705713268e-16,2.220446049250313e-16,True,0.954905782359007,0.7657710015773773,0.00031566119019100727,1.5332217612306203,1.5339186354942322
student_37035_0_000035_step0000,student_37035_0_000035,0,4,2,adaptive_edge,0.4385451336967981,True,True,0.020024112442500845,0.024281341595655242,ok,0.20408536838195176,0.8414655304818781,6.778119770204436e-06,9.256868061882305e-06,1.0296533718924843e-15,2.7755575615628914e-16,True,0.9481775928650151,0.79485297575593,0.0004618421786969882,1.548082650312068,1.5481300093233585
student_37035_0_000035_step0010,student_37035_0_000035,10,4,2,fixed_probe,0.2806688855659508,True,True,0.018048638168865844,nan,ok,0.16075117273721246,0.662794064637437,5.7955274891069175e-06,9.978108218304101e-06,8.097480332567957e-16,2.220446049250313e-16,True,0.9560382092026319,0.7668943218886852,0.00026960302496641944,1.4882751144406379,1.4887903461958798
student_37035_0_000035_step0010,student_37035_0_000035,10,4,2,adaptive_edge,0.4393258332168291,True,True,0.018048638168865844,0.022593280128654466,ok,0.19573290771926458,0.8070274529358022,5.299740713977159e-06,7.778197563289956e-06,1.0303833979166349e-15,3.3306690738754696e-16,True,0.9503751765863409,0.7799998745322227,0.00042104569354729717,1.5017992907692561,1.5011670691892505
student_37035_0_000035_step0025,student_37035_0_000035,25,4,2,fixed_probe,0.2806688855659508,True,True,0.020887978415670177,nan,ok,0.17001355132967205,0.7009838299186077,7.688696866355045e-06,1.355269973108522e-05,8.141616519823508e-16,2.220446049250313e-16,True,0.9598986501618882,0.7731808498501778,0.00027712173957565296,1.4433869373269221,1.4432337171715413
student_37035_0_000035_step0025,student_37035_0_000035,25,4,2,adaptive_edge,0.5093115988202026,True,True,0.020887978415670177,0.025320767132261775,ok,0.21530091912411167,0.8877084308412779,5.039035172004261e-06,7.399894868020314e-06,1.0992043514308706e-15,3.3306690738754696e-16,True,0.9528949877566593,0.769156951457262,0.0004960234630358475,1.4599341183966998,1.4580039605498314
student_37035_0_000035_step0050,student_37035_0_000035,50,4,2,fixed_probe,0.2806688855659508,True,True,0.017859990488267547,nan,ok,0.1531288743786668,0.631366523395181,4.437844060896243e-06,8.028384383427403e-06,9.642236177187691e-14,9.546807788751721e-13,True,0.9617438853977127,0.7652151919901371,0.0002183076042555773,1.4393835350525774,1.4397398374044599
student_37035_0_000035_step0050,student_37035_0_000035,50,4,2,adaptive_edge,0.5563003823511761,True,True,0.017859990488267547,0.022515937147653167,ok,0.20739771752720307,0.8551226958766734,3.357525722259651e-06,4.898422379299193e-06,1.1585576420195575e-15,4.440892098500626e-16,True,0.9559963175004815,0.769206129014492,0.00043992892538840075,1.4565451645694416,1.455789060331881
student_37035_0_000035_step0075,student_37035_0_000035,75,4,2,fixed_probe,0.2806688855659508,True,True,0.021160645030090665,nan,ok,0.16740628728112394,0.6902338048525684,6.959162568939765e-06,1.2573514540667714e-05,7.925360959219996e-16,2.220446049250313e-16,True,0.962207944099516,0.762697272002697,0.0002788004012214094,1.4077764928400924,1.4058783071030678
student_37035_0_000035_step0075,student_37035_0_000035,75,4,2,adaptive_edge,0.5791874761020521,True,True,0.021160645030090665,0.024850485461313108,ok,0.21843158366233476,0.9006164914107471,2.5499829301109214e-06,3.886119434770039e-06,1.1724959914203704e-15,3.3306690738754696e-16,True,0.956751981692204,0.7717029824852943,0.0005013616994799649,1.4219937172040733,1.4184964299201965
student_37035_0_000035_step0100,student_37035_0_000035,100,4,2,fixed_probe,0.2806688855659508,True,True,0.020852443332040095,nan,ok,0.16182920034222573,0.6672388863202384,7.883870755090572e-06,1.405873246474616e-05,6.69158799459176e-14,7.042699756709681e-13,True,0.9562922248631298,0.7653970941901207,0.0002761726134934602,1.3598625114448895,1.3588863277162115
student_37035_0_000035_step0100,student_37035_0_000035,100,4,2,adaptive_edge,0.5787854168984308,True,True,0.020852443332040095,0.02517574208692131,ok,0.2147291847018856,0.8853511094286381,3.5141998379109576e-06,4.750891478911091e-06,1.158077018869133e-15,4.440892098500626e-16,True,0.9515405632859654,0.782985009253025,0.000534555721233882,1.373026370596375,1.3708316460251808
student_37035_0_000035_step0150,student_37035_0_000035,150,4,2,fixed_probe,0.2806688855659508,True,True,0.019258816309364546,nan,ok,0.14739269485127113,0.6077156493162231,2.02701712182496e-06,3.958908234165732e-06,1.2057560840691972e-14,7.083222897108499e-14,True,0.9563542012100057,0.7696877755224705,0.0002489447490820224,1.3220648089487947,1.3241100953237428
student_37035_0_000035_step0150,student_37035_0_000035,150,4,2,adaptive_edge,0.7022708234548587,False,True,0.019258816309364546,0.023864776756283176,ok,0.21787380960941352,0.898316730075324,7.666077715906008e-06,1.2528150815897415e-05,1.1667959522973561e-15,4.440892098500626e-16,True,0.9537341553578521,0.7639899998903275,0.000955608556890641,1.3341941511040123,1.3377645015716553
student_37035_0_000035_step0200,student_37035_0_000035,200,4,2,fixed_probe,0.2806688855659508,True,True,0.019654922988878835,nan,ok,0.1386332400222929,0.5715994918335193,4.301675041005369e-06,7.640865430210415e-06,1.1218011653955814e-13,6.56030785251005e-13,True,0.9373088116869659,0.7783522754907608,0.0002064818078341334,1.4155840813296203,1.421735165949452
student_37035_0_000035_step0200,student_37035_0_000035,200,4,2,adaptive_edge,0.7213637470250115,True,True,0.019654922988878835,0.024979848090887692,ok,0.2084010419346645,0.8592595083853972,2.9544338459158216e-06,4.977748654425446e-06,1.2005940844807496e-15,4.440892098500626e-16,True,0.9346040887048895,0.7690279260277748,0.000516953088422318,1.4295073054774594,1.438387930393219
student_37035_0_000037_step0000,student_37035_0_000037,0,5,5,fixed_probe,0.30206739053150294,True,True,0.038325000421817086,nan,ok,0.30994593882810806,1.5804203902433585,1.074163058039406e-05,2.052412276898974e-05,8.470870202258401e-14,5.333511410299252e-13,True,0.9583662624686384,0.7693242058157921,0.0005333939434006946,1.125030879086888,1.1263874677352905
student_37035_0_000037_step0000,student_37035_0_000037,0,5,5,adaptive_edge,0.47198029770547323,True,True,0.038325000421817086,0.040272213917708265,ok,0.3530081685777808,1.7999955400357557,1.436759325545226e-05,2.6041631483368482e-05,5.73925837692753e-14,4.348743587456738e-13,True,0.9583034619939402,0.7758989483118057,0.0005572415247489838,1.1295920040490457,1.1328561305999756
student_37035_0_000037_step0010,student_37035_0_000037,10,5,5,fixed_probe,0.30206739053150294,True,True,0.019163586018774766,nan,ok,0.22935502450225131,1.1694857454775307,1.2468474841436136e-05,2.3828098008881057e-05,6.546019949120464e-14,4.5324854980322016e-13,True,0.9494415960743634,0.7766065560281277,8.81217903681468e-05,1.1936794641509507,1.1941457556531663
student_37035_0_000037_step0010,student_37035_0_000037,10,5,5,adaptive_edge,0.44520530382708334,True,True,0.019163586018774766,0.021880858295395347,ok,0.2747442661191905,1.400926374189481,1.2619091846819987e-05,2.4049213962251155e-05,1.0079836868764033e-15,2.7755575615628914e-16,True,0.9487649538598443,0.7695761136710644,0.0001233944881227411,1.1980723993882807,1.2005207538604736
student_37035_0_000037_step0025,student_37035_0_000037,25,5,5,fixed_probe,0.30206739053150294,True,True,0.014032740263846212,nan,ok,0.21334959926190925,1.087873769853676,1.0477716780473198e-05,2.0241183718841184e-05,5.580705211063988e-14,5.240807787743051e-13,True,0.9452201738600544,0.7698309496045113,8.706769583108596e-05,1.164987204607651,1.1646464427671779
student_37035_0_000037_step0025,student_37035_0_000037,25,5,5,adaptive_edge,0.4266784957231546,True,True,0.014032740263846212,0.01587267835362719,ok,0.2515946147068679,1.2828858499051774,1.0509907817168697e-05,1.9495535822776e-05,1.0489365941678043e-15,2.7755575615628914e-16,True,0.945357253512316,0.7732489667832851,0.0001067685578407109,1.167606333659739,1.1701915562152863
student_37035_0_000037_step0050,student_37035_0_000037,50,5,5,fixed_probe,0.30206739053150294,True,True,0.007666276937060598,nan,ok,0.18835449031330384,0.9604232215803594,9.324898628355782e-06,1.7440638703536287e-05,3.387570934252416e-14,2.682298827494378e-13,True,0.9407315274521314,0.7690220400691032,3.567740065882597e-05,1.1607454050067387,1.161599558070298
student_37035_0_000037_step0050,student_37035_0_000037,50,5,5,adaptive_edge,0.4563459160099297,True,True,0.007666276937060598,0.010182074001960658,ok,0.23422649391841566,1.1943254630904232,1.0140102995729734e-05,1.8735013544678416e-05,1.072477619730116e-15,2.7755575615628914e-16,True,0.9408000231742469,0.7706505618989468,5.514024359385014e-05,1.1627154236040396,1.1655047237873077
student_37035_0_000037_step0075,student_37035_0_000037,75,5,5,fixed_probe,0.30206739053150294,True,True,0.006811591740677522,nan,ok,0.17785933163923062,0.9069082027030074,7.900888165313187e-06,1.5258916779826407e-05,4.144356781631578e-14,5.649924972317422e-13,True,0.9370221780481628,0.7664523310959339,2.487316219866937e-05,1.1841970289658756,1.1865436298676353
student_37035_0_000037_step0075,student_37035_0_000037,75,5,5,adaptive_edge,0.5025161548333211,True,True,0.006811591740677522,0.009307716451966569,ok,0.2322938985929064,1.1844711218137731,9.570930102500559e-06,1.9163501350723163e-05,9.215922596384525e-06,0.00048189362599193597,False,0.9365727798480977,0.775300495326519,4.3612338172209414e-05,1.186462688991786,1.191297173500061
student_37035_0_000037_step0100,student_37035_0_000037,100,5,5,fixed_probe,0.30206739053150294,True,True,0.006314549491240432,nan,ok,0.17176479841870101,0.8758320588852875,7.09803792181613e-06,1.3810111944670528e-05,5.51327733443744e-14,7.843725668976731e-13,True,0.9343411010884924,0.7690939381718636,2.133429760269974e-05,1.1908937400858424,1.1940150716948026
student_37035_0_000037_step0100,student_37035_0_000037,100,5,5,adaptive_edge,0.5234796106452348,True,True,0.006314549491240432,0.008671501531263797,ok,0.22825114029911842,1.1638570183850092,9.958177128186085e-06,2.016002594809869e-05,1.2044066538278404e-15,3.3306690738754696e-16,True,0.9336613231180886,0.7715234234929085,3.842594770258148e-05,1.1931864065164646,1.197483479976654
student_37035_0_000037_step0150,student_37035_0_000037,150,5,5,fixed_probe,0.30206739053150294,True,True,0.005259899097138857,nan,ok,0.16937512519257938,0.8636470684741832,6.914361657182788e-06,1.3296337484361227e-05,2.7575523162502042e-14,3.7625458304546555e-13,True,0.931933457222043,0.7724836133420467,1.6409127774408602e-05,1.2097058064067778,1.2131657571445977
student_37035_0_000037_step0150,student_37035_0_000037,150,5,5,adaptive_edge,0.5278415618204071,True,True,0.005259899097138857,0.007316314325871595,ok,0.22543626969131886,1.1495039382276004,1.0055007587260118e-05,2.0391918562472696e-05,1.2629787667464052e-15,4.440892098500626e-16,True,0.931416926563086,0.7692576162517071,3.0194323372201367e-05,1.2119569015008909,1.2179498374462128
student_37035_0_000037_step0200,student_37035_0_000037,200,5,5,fixed_probe,0.30206739053150294,True,True,0.0034943936399318104,nan,ok,0.16950721111305803,0.8643205771601747,8.815525473898343e-06,1.6466697650350658e-05,1.3811298124186817e-14,8.171241461241152e-14,True,0.9172166992629492,0.788431067019701,6.030488659539753e-06,1.3103368716387636,1.310809175110727
student_37035_0_000037_step0200,student_37035_0_000037,200,5,5,adaptive_edge,0.44545448049237135,True,True,0.0034943936399318104,0.004276934563450708,ok,0.20612507447419298,1.0510357769846759,9.121073620124358e-06,1.6496780491776663e-05,8.555001477538422e-14,5.005995618034831e-13,True,0.9171041677641056,0.771244715899229,7.700929868777329e-06,1.3116639852763128,1.3167076110839844
student_37035_0_000038_step0000,student_37035_0_000038,0,7,2,fixed_probe,0.29603156524773433,True,True,0.04902737578304692,nan,ok,0.3615247158307618,2.556365781304713,2.3926549703642317e-05,4.528804842960076e-05,1.3141583765255434e-13,8.094636072542016e-13,True,0.906976489005672,0.7733688019216061,0.0015766746068457496,2.882014339320226,2.883511705963135
student_37035_0_000038_step0000,student_37035_0_000038,0,7,2,adaptive_edge,0.46254932069958477,True,True,0.04902737578304692,0.05049918666638534,ok,0.395745715374454,2.798344789667978,2.4388767925479212e-05,4.90315740280833e-05,1.093655792888063e-15,2.7755575615628914e-16,True,0.9051232964095328,0.7735345214605331,0.0016325455118747177,2.8905137008086053,2.8927101343870163
student_37035_0_000038_step0010,student_37035_0_000038,10,7,2,fixed_probe,0.29603156524773433,True,True,0.014119517795129866,nan,ok,0.23800068474175212,1.6829189810793463,1.103917100562143e-05,2.265472055138176e-05,9.646427432589894e-16,2.220446049250313e-16,True,0.9061394683602522,0.7793319970369339,0.00010313856984149974,2.53718026857455,2.537850083199214
student_37035_0_000038_step0010,student_37035_0_000038,10,7,2,adaptive_edge,0.4226527345684262,True,True,0.014119517795129866,0.018182240317543327,ok,0.2837836177592535,2.0066532050721935,9.904508863382252e-06,2.05907219590653e-05,1.1321177409375891e-15,3.3306690738754696e-16,True,0.9043991127767238,0.76529386267066,0.0001480443591426404,2.545153145692888,2.545994520187378
