trajectory_id,case_id,worker_index,nfp,n_base_coils,initial_score,final_score,best_score,best_iteration,best_gain,trajectory_wall_s
axisv2_case_03381,3381,3,5,1,3.019485912372095,11.73965184534541,11.739651845345577,80,8.720165932973481,484.12133548781276
axisv2_case_03382,3382,2,6,1,4.770476087108628,11.076752437515694,11.076752437515859,90,6.306276350407231,494.23780684918165
axisv2_case_03569,3569,4,4,2,1.4985521967077307,2.6954620179858875,2.6954620179858924,48,1.1969098212781617,1084.4989775321446
axisv2_case_03587,3587,1,8,4,2.726283247182197,1.8539063965528864,2.8500604663354694,1,0.12377721915327244,4281.440134640783
axisv2_case_03591,3591,4,7,1,3.9335630161298263,16.995646585809826,16.995646585810142,187,13.062083569680317,540.5222046081908
axisv2_case_03675,3675,4,6,2,2.1448249151738534,60.97317174737274,60.97317174737299,71,58.82834683219913,673.6256772959605
axisv2_case_03826,3826,2,8,1,6.833297288685153,61.09302026279695,62.11436518773213,46,55.28106789904698,579.2210692688823
axisv2_case_03831,3831,3,6,2,2.9591640296330968,66.31238986148466,66.3362334528371,189,63.37706942320401,823.4042686335742
axisv2_case_03874,3874,3,4,1,0.8945991507697428,1.2004654095574316,1.2004654095574323,59,0.30586625878768947,870.8671923279762
axisv2_case_04006,4006,3,6,1,2.5230227048268232,38.48213805492187,38.48213805492257,153,35.95911535009575,507.56100026890635
axisv2_case_04044,4044,4,4,3,2.7233028003022994,30.488862876696082,30.488862876696082,200,27.765560076393783,849.2966661150567
axisv2_case_04053,4053,4,6,4,2.2237585773132635,3.0512409472012663,3.0512409472012716,127,0.827482369888008,2259.5244080233388
axisv2_case_04086,4086,1,8,1,8.096432714416794,62.18580029627013,63.844676078703635,44,55.74824336428684,559.871829148382
axisv2_case_04155,4155,2,4,4,6.692953876096951,68.65370603792528,68.65370603792528,200,61.960752161828324,986.9682070687413
axisv2_case_04316,4316,0,4,1,1.5622957335551282,4.740983781619488,4.740983781619492,35,3.1786880480643633,553.5087681189179
axisv2_case_04428,4428,3,5,2,0.9753699429685309,69.00015265422434,69.11751868650505,182,68.14214874353652,754.5990422517061
axisv2_case_04587,4587,5,8,2,3.76019830756313,1.0517040145527612,3.76019830756313,0,0.0,2443.8828320279717
axisv2_case_04654,4654,4,4,1,1.2992649963281486,3.82801668721589,3.828016687215893,124,2.528751690887744,535.4746751347557
axisv2_case_04758,4758,5,4,1,1.8590393451527298,34.42426166811594,34.4242616681166,160,32.56522232296387,471.0827176091261
axisv2_case_04773,4773,5,5,3,6.191410928324967,54.282790130626815,54.282790130626815,200,48.091379202301844,982.877791496925
axisv2_case_04932,4932,1,8,3,2.612783958268385,2.6149289701494114,2.6149289701494136,155,0.002145011881028669,2383.176994483918
axisv2_case_04969,4969,1,7,1,2.482413512037663,39.23348047564906,39.23348047564963,70,36.75106696361196,552.3454707860947
axisv2_case_05046,5046,0,6,1,2.179177639521542,2.663130886514332,2.830459597101685,2,0.6512819575801427,936.4732633046806
axisv2_case_05076,5076,0,3,2,1.0831147889247759,3.640002478760955,3.6400024787609606,161,2.5568876898361848,897.5625003688037
axisv2_case_05104,5104,4,5,2,2.810657892980261,14.32091313937902,14.320913139379197,126,11.510255246398936,639.9539049933665
axisv2_case_05204,5204,4,8,1,7.021426122870507,61.61573030682919,62.70569606611708,68,55.68426994324657,614.434553205967
axisv2_case_05289,5289,1,8,2,7.9580026497147545,65.40971544510948,66.10113428226396,76,58.1431316325492,987.2745753526688
axisv2_case_05304,5304,0,4,1,1.7753071082164587,15.688307727975962,15.688307727976106,196,13.913000619759647,436.90396670624614
axisv2_case_05313,5313,0,6,2,6.512324419514953,56.65010747629391,56.65010747629439,76,50.13778305677943,680.6228710375726
axisv2_case_05330,5330,3,4,1,2.7314089580997565,18.55136719934177,18.551367199341925,78,15.819958241242169,450.92978185787797
axisv2_case_05488,5488,0,6,1,1.2261578631207868,15.345020226217583,15.345020226217938,153,14.118862363097152,487.22518211230636
axisv2_case_05720,5720,4,4,1,0.8360768244233618,1.3549957419799112,1.3549957419799123,7,0.5189189175565505,958.533115958795
axisv2_case_05722,5722,0,6,1,1.7091821719180151,3.865466912483388,3.8654669124833902,14,2.156284740565375,970.1400525271893
axisv2_case_05798,5798,2,4,1,1.7584835752245227,15.055012150238063,15.055012150238472,67,13.29652857501395,453.572711288929
axisv2_case_05852,5852,3,6,1,4.488934401464107,10.157006293891186,10.157006293891309,170,5.668071892427202,497.0538967847824
axisv2_case_05854,5854,4,8,1,6.371386406626376,63.21144771948909,63.5127398315131,197,57.141353424886724,636.6744529688731
axisv2_case_05890,5890,0,4,3,1.4500876486740923,9.290570405402054,9.813303391240808,188,8.363215742566716,814.6085601076484
axisv2_case_05901,5901,3,8,4,3.90432993730274,66.60388139819788,66.8578236569797,190,62.95349371967696,1695.9009050875902
axisv2_case_05926,5926,5,7,4,2.3780855084583172,64.79712897847448,64.79712897847448,200,62.419043470016156,1570.4101652242243
axisv2_case_05932,5932,0,8,1,6.341184513732764,63.36565352315983,63.503756259662694,41,57.16257174592993,571.7989861629903
axisv2_case_05937,5937,0,6,2,1.2099259326390805,2.136038707774279,2.1360387077742797,15,0.9261127751351992,1415.925948239863
