iteration,current_score,best_score,invalid_direction_count,raw_gradient_rms,clean_gradient_rms,first_moment_rms,clean_first_moment_rms,contamination_first_moment_rms,contamination_first_moment_fraction,actual_update_rms,clean_counterfactual_update_rms,update_difference_rms,actual_clean_update_cosine
19,50.329976569636834,50.329976569636834,0,12.62749678383034,12.62749678383034,5.607312539241961,5.607312539241961,0.0,0.0,0.0017807906226687395,0.0017807906226687395,0.0,0.9999999999999999
20,50.59951528592355,50.59951528592355,0,8.069435209958149,8.069435209958149,5.047657136531075,5.047657136531075,0.0,0.0,0.00161546905170524,0.00161546905170524,0.0,1.0
21,50.80101230757955,50.80101230757955,0,24.761771157014895,24.761771157014895,5.370670711543562,5.370670711543562,0.0,0.0,0.0017396775621669413,0.0017396775621669413,0.0,1.0000000000000002
22,51.1344544235138,51.1344544235138,0,17.3769110195522,17.3769110195522,5.056573447760549,5.056573447760549,0.0,0.0,0.0016311484667975017,0.0016311484667975017,0.0,0.9999999999999999
23,51.52927785282141,51.52927785282141,0,15.405087140678976,15.405087140678976,4.9248954516447165,4.9248954516447165,0.0,0.0,0.0015948612889136963,0.0015948612889136963,0.0,1.0
24,51.74700484157509,51.74700484157509,0,11.984905194125416,11.984905194125416,4.709768542490828,4.709768542490828,0.0,0.0,0.0015386024906301212,0.0015386024906301212,0.0,1.0000000000000002
25,52.029694647497806,52.029694647497806,0,15.91071486421396,15.91071486421396,4.603314246605009,4.603314246605009,0.0,0.0,0.0015199617315750761,0.0015199617315750761,0.0,1.0
26,52.330248975555364,52.330248975555364,0,19.723842185144637,19.723842185144637,4.6819580844981825,4.6819580844981825,0.0,0.0,0.0015736082827078,0.0015736082827078,0.0,1.0000000000000002
27,52.61869210460928,52.61869210460928,0,11.662385647737228,11.662385647737228,4.477641364194815,4.477641364194815,0.0,0.0,0.001530259229611698,0.001530259229611698,0.0,1.0000000000000002
28,52.88195594270994,52.88195594270994,0,18.333264644418644,18.333264644418644,4.500445593451177,4.500445593451177,0.0,0.0,0.001539794965291323,0.001539794965291323,0.0,1.0
29,53.17469012780702,53.17469012780702,0,11.224170940113959,11.224170940113959,4.269991605277323,4.269991605277323,0.0,0.0,0.0014735358634556644,0.0014735358634556644,0.0,0.9999999999999999
30,53.41725875163821,53.41725875163821,0,9.765057357530695,9.765057357530695,4.011972089782697,4.011972089782697,0.0,0.0,0.001400682603075224,0.001400682603075224,0.0,1.0
31,53.68999898511861,53.68999898511861,0,16.910646306676234,16.910646306676234,4.023393955572858,4.023393955572858,0.0,0.0,0.0014282140913433597,0.0014282140913433597,0.0,1.0000000000000002
32,53.9182256827017,53.9182256827017,0,11.983177226235261,11.983177226235261,3.9214021512764434,3.9214021512764434,0.0,0.0,0.0014385386807203812,0.0014385386807203812,0.0,1.0
33,54.14793528749116,54.14793528749116,0,14.155886743441586,14.155886743441586,3.7830165760965833,3.7830165760965833,0.0,0.0,0.0013996862618963274,0.0013996862618963274,0.0,1.0
34,54.36798292494685,54.36798292494685,0,8.029452968181053,8.029452968181053,3.525804792451656,3.525804792451656,0.0,0.0,0.0013245842914879217,0.0013245842914879217,0.0,1.0
