case_id,nfp,n_base_coils,status,score,iota_min,iota_max,iota_midpoint,iota_sign
1148,8,1,drift_rejected,0.30718064054255606,,,,missing
1149,2,2,no_axis,0.12191794216670045,,,,missing
1150,3,2,no_axis,0.12286009285039981,,,,missing
1151,4,2,no_surface,0.2735664053916927,,,,missing
1152,5,2,no_axis,0.1234789355438593,,,,missing
1153,6,2,no_axis,0.11847385569965965,,,,missing
1154,7,2,ok,16.16605096000936,-0.5498344045070874,-0.536741839622237,-0.5432881220646621,negative
1155,8,2,ok,14.48388825247655,-0.8842136105075303,-0.8455195611997729,-0.8648665858536516,negative
1156,2,3,no_axis,0.11994414870627608,,,,missing
1157,3,3,no_surface,0.29890544680121967,,,,missing
1158,4,3,no_surface,0.26729061209185534,,,,missing
1159,5,3,no_axis,0.1167410585708135,,,,missing
1160,6,3,no_axis,0.11127238056297373,,,,missing
1161,7,3,ok,19.66207193771487,-0.6892318106329328,-0.5915488600730896,-0.6403903353530112,negative
1162,8,3,no_axis,0.11112723668381859,,,,missing
1163,2,4,no_axis,0.11167682083847918,,,,missing
1164,3,4,no_axis,0.11859327694274535,,,,missing
1165,4,4,no_axis,0.11683889356035482,,,,missing
1166,5,4,no_surface,0.24145806178174364,,,,missing
1167,6,4,no_surface,0.3085291053691013,,,,missing
1168,7,4,no_axis,0.10913887244852126,,,,missing
1169,8,4,ok,36.987094423211275,-0.8430554270744324,-0.8155247017306844,-0.8292900644025584,negative
1170,4,1,no_surface,0.3180132187781884,,,,missing
1171,5,1,drift_rejected,0.31205306568804103,,,,missing
1172,6,1,no_surface,0.308496005361801,,,,missing
1173,7,1,ok,7.334594472207293,-1.1717017748573568,-1.0425503253936768,-1.1071260501255167,negative
1174,8,1,drift_rejected,0.35363914357568715,,,,missing
1175,2,2,no_axis,0.12163474176082581,,,,missing
1176,3,2,no_axis,0.12031068468386992,,,,missing
1177,4,2,no_axis,0.12303257506674448,,,,missing
1178,5,2,no_surface,0.3184564669024442,,,,missing
1179,6,2,drift_rejected,0.3899955262732094,,,,missing
1180,7,2,no_axis,0.110436508883795,,,,missing
1181,8,2,no_surface,0.30465338165828065,,,,missing
1182,2,3,no_axis,0.12137374718541845,,,,missing
1183,3,3,no_surface,0.27409583487048,,,,missing
1184,4,3,no_axis,0.12022056708027606,,,,missing
1185,5,3,no_axis,0.11280350213374404,,,,missing
1186,6,3,ok,5.683532379347406,-0.7300280332338926,-0.6605846285820007,-0.6953063309079467,negative
1187,7,3,no_surface,0.255431330652009,,,,missing
1188,8,3,ok,21.879140216883393,-1.0752856226648644,-0.9913386100195837,-1.033312116342224,negative
1189,2,4,no_axis,0.11618361249292847,,,,missing
1190,3,4,no_axis,0.1154579440062935,,,,missing
1191,4,4,no_axis,0.11249210446691305,,,,missing
1192,5,4,no_surface,0.26847047727019274,,,,missing
1193,6,4,no_axis,0.11043591744147639,,,,missing
1194,7,4,no_surface,0.27316558178886474,,,,missing
1195,8,4,ok,31.324717332564774,-0.7179392686287335,-0.6979208334571662,-0.7079300510429498,negative
1196,4,1,no_axis,0.1282716199367815,,,,missing
1197,5,1,no_surface,0.31395476520400556,,,,missing
1198,6,1,no_axis,0.12666583312598867,,,,missing
1199,7,1,ok,6.808426165207882,-0.8021119530823015,-0.7707365619636521,-0.7864242575229768,negative
1200,8,1,ok,10.552392743469253,-0.8331654667854309,-0.7945087346548572,-0.813837100720144,negative
1201,2,2,no_axis,0.12408940264787022,,,,missing
1202,3,2,no_axis,0.1251333438115346,,,,missing
1203,4,2,no_axis,0.12136219029970584,,,,missing
1204,5,2,no_axis,0.11927564627584315,,,,missing
1205,6,2,no_surface,0.3176898588169344,,,,missing
1206,7,2,no_surface,0.270291405409525,,,,missing
1207,8,2,no_axis,0.10887885035480459,,,,missing
1208,2,3,no_axis,0.12306673041939842,,,,missing
1209,3,3,no_axis,0.11751003175805746,,,,missing
1210,4,3,no_surface,0.28320853484648173,,,,missing
1211,5,3,no_axis,0.11703085993087153,,,,missing
1212,6,3,ok,12.00215220074814,-0.5552926409882974,-0.5503389609978809,-0.5528158009930892,negative
1213,7,3,no_surface,0.2740408728409051,,,,missing
1214,8,3,no_axis,0.11101861928626029,,,,missing
1215,2,4,no_axis,0.11821730188554097,,,,missing
1216,3,4,no_axis,0.11683495527933721,,,,missing
1217,4,4,no_axis,0.11443374533601487,,,,missing
1218,5,4,no_axis,0.11568260653995546,,,,missing
1219,6,4,no_surface,0.2580395603567955,,,,missing
1220,7,4,no_axis,0.11731131033846201,,,,missing
1221,8,4,no_surface,0.2987203695711549,,,,missing
1222,4,1,drift_rejected,0.3597613993477125,,,,missing
1223,5,1,no_axis,0.1267237501960705,,,,missing
1224,6,1,ok,5.203002725565349,-1.302588164806366,-1.229679823051286,-1.2661339939288259,negative
1225,7,1,no_surface,0.2933693427027701,,,,missing
1226,8,1,no_surface,0.29198194563789387,,,,missing
1227,2,2,no_surface,0.2675177283434863,,,,missing
1228,3,2,no_axis,0.11993491035737427,,,,missing
1229,4,2,no_axis,0.12505479895961746,,,,missing
1230,5,2,ok,3.445910550480914,-0.7370444392004739,-0.7131923735141754,-0.7251184063573246,negative
1231,6,2,no_surface,0.25912222069251495,,,,missing
1232,7,2,ok,4.49329811811088,-0.8337859809398651,-0.7568646870841396,-0.7953253340120023,negative
1233,8,2,no_surface,0.28086538942197037,,,,missing
1234,2,3,no_axis,0.12106462192733745,,,,missing
1235,3,3,no_axis,0.12038790978775732,,,,missing
1236,4,3,no_axis,0.11707543561157528,,,,missing
1237,5,3,no_axis,0.12142146326365313,,,,missing
1238,6,3,no_surface,0.24696746565128944,,,,missing
1239,7,3,ok,7.821918426749838,-0.43934853341741237,-0.3315313160419464,-0.38543992472967936,negative
1240,8,3,no_axis,0.10791180780145454,,,,missing
1241,2,4,no_axis,0.11834876863881977,,,,missing
1242,3,4,no_axis,0.1203578833077875,,,,missing
1243,4,4,no_axis,0.1130501709242353,,,,missing
1244,5,4,no_axis,0.10994867104918692,,,,missing
1245,6,4,no_axis,0.10842618288642925,,,,missing
1246,7,4,no_surface,0.29868684110551535,,,,missing
1247,8,4,ok,7.662635901688025,-0.7865547498929351,-0.6342934966087341,-0.7104241232508346,negative
1248,4,1,drift_rejected,0.3183555274954599,,,,missing
1249,5,1,flux_rejected,0.385616393228424,,,,missing
1250,6,1,no_surface,0.2791160956833956,,,,missing
1251,7,1,ok,4.425285858121741,-0.8171788118779659,-0.8062678997646587,-0.8117233558213124,negative
1252,8,1,ok,9.177545334851011,-1.1859842538833618,-1.1379304803511867,-1.1619573671172743,negative
1253,2,2,no_axis,0.12257592383135499,,,,missing
1254,3,2,no_axis,0.12769761938676347,,,,missing
1255,4,2,no_axis,0.12233961662353077,,,,missing
1256,5,2,no_axis,0.11721874324902903,,,,missing
1257,6,2,no_axis,0.12068661523833889,,,,missing
1258,7,2,ok,16.490672387028752,-0.6569935905722776,-0.6467128026574003,-0.6518531966148389,negative
1259,8,2,ok,24.94708488536528,-1.1817603554027516,-1.1271765555875364,-1.1544684554951439,negative
1260,2,3,no_axis,0.1220017094531743,,,,missing
1261,3,3,no_surface,0.2545796957145993,,,,missing
1262,4,3,no_surface,0.25753313196413447,,,,missing
1263,5,3,no_axis,0.11313103631596984,,,,missing
1264,6,3,no_axis,0.11022133956531109,,,,missing
1265,7,3,drift_rejected,0.2688032529116146,,,,missing
1266,8,3,no_surface,0.24641955486147182,,,,missing
1267,2,4,no_axis,0.1180715872105866,,,,missing
1268,3,4,no_axis,0.11879217264332179,,,,missing
1269,4,4,drift_rejected,0.2871580430376169,,,,missing
1270,5,4,no_axis,0.10769218502575749,,,,missing
1271,6,4,no_axis,0.11018286657824317,,,,missing
1272,7,4,no_axis,0.11055883379145431,,,,missing
1273,8,4,ok,36.69889165392798,-0.7858585007488728,-0.7765184515836132,-0.781188476166243,negative
1274,4,1,drift_rejected,0.37349433458042436,,,,missing
1275,5,1,ok,3.2043209517407343,-0.7339256213575681,-0.709138885140419,-0.7215322532489936,negative
1276,6,1,no_axis,0.12466402330547476,,,,missing
1277,7,1,no_surface,0.29309997490948747,,,,missing
1278,8,1,ok,7.706014103224192,-1.2508352473358835,-1.2438901723242841,-1.247362709830084,negative
1279,2,2,no_surface,0.26896173245362526,,,,missing
1280,3,2,no_axis,0.11950061406836408,,,,missing
1281,4,2,no_axis,0.11239066447730957,,,,missing
1282,5,2,no_axis,0.11690785345243365,,,,missing
1283,6,2,no_axis,0.11804311509736616,,,,missing
1284,7,2,drift_rejected,0.2840411037352985,,,,missing
1285,8,2,ok,5.500792527140362,-1.2437323331832886,-1.093172161370487,-1.1684522472768877,negative
1286,2,3,no_axis,0.11616192768431349,,,,missing
1287,3,3,no_axis,0.11984647754996205,,,,missing
1288,4,3,no_axis,0.12133752063683341,,,,missing
1289,5,3,no_axis,0.11794356543838524,,,,missing
1290,6,3,no_axis,0.11424086517467447,,,,missing
1291,7,3,drift_rejected,0.35982588307145563,,,,missing
1292,8,3,no_surface,0.24404300037620544,,,,missing
1293,2,4,no_axis,0.1226590220891462,,,,missing
1294,3,4,no_axis,0.10933359603128401,,,,missing
1295,4,4,drift_rejected,0.2639272424080722,,,,missing
1296,5,4,no_axis,0.11141085701451628,,,,missing
1297,6,4,no_axis,0.10601004396674954,,,,missing
1298,7,4,ok,3.0792012864118217,-0.6865890258783197,-0.6114752888679504,-0.649032157373135,negative
1299,8,4,no_axis,0.09881146198686037,,,,missing
1300,4,1,no_surface,0.31298971688808525,,,,missing
1301,5,1,no_surface,0.3049931902511234,,,,missing
1302,6,1,drift_rejected,0.2969190694803068,,,,missing
1303,7,1,no_axis,0.12467086183718397,,,,missing
1304,8,1,ok,7.680343673158435,-1.4527680575847626,-1.4034618722544705,-1.4281149649196165,negative
1305,2,2,no_axis,0.12009899204919389,,,,missing
1306,3,2,no_surface,0.27716860632239554,,,,missing
1307,4,2,no_axis,0.1268404709593011,,,,missing
1308,5,2,no_axis,0.1189886324956776,,,,missing
1309,6,2,no_axis,0.11200778844978064,,,,missing
1310,7,2,no_axis,0.11462563448862917,,,,missing
1311,8,2,no_surface,0.30198252574815115,,,,missing
1312,2,3,no_axis,0.12197989316635963,,,,missing
1313,3,3,no_surface,0.26032709539395044,,,,missing
1314,4,3,no_axis,0.12129860193389808,,,,missing
1315,5,3,no_axis,0.11950993858504054,,,,missing
1316,6,3,no_axis,0.10857727807908263,,,,missing
1317,7,3,no_axis,0.11251393244773136,,,,missing
