trajectory_id,case_id,nfp,n_base_coils,initial_score,initial_iota,initial_sign,best_score,best_iteration,best_iota,best_sign,final_score,final_iota,final_sign,trajectory_pattern,history_count
axisv3_case_01793,1793,8,4,2.7779564713186575,-0.5976588170410679,negative,64.9680371530367,166,-1.0198256504575924,negative,64.34046244775126,-1.0601653754711151,negative,all_negative,200
axisv3_case_02825,2825,7,3,27.79566291048686,-0.6664067826433828,negative,66.55228563728546,19,-1.065341116546916,negative,66.22812108801827,-1.0403574507217854,negative,all_negative,200
axisv3_case_01095,1095,7,1,4.7577763711511665,-1.2634145846907119,negative,17.445281025431886,62,-1.0277538355478903,negative,17.445281025431424,-1.0546731650829315,negative,all_negative,200
axisv3_case_01324,1324,7,4,22.222406084269394,-0.7144378191295289,negative,66.58971643061112,78,-1.018811089582771,negative,64.27260922269704,-1.0342648476362228,negative,all_negative,200
axisv3_case_02818,2818,7,2,5.167554968118314,-0.7590115419234772,negative,65.3893618827902,200,-1.0313997682409135,negative,65.3893618827902,-1.0485763400793076,negative,all_negative,200
axisv3_case_01161,1161,7,3,19.66207193771487,-0.6403903353530112,negative,66.9098289925687,99,-1.0198780603610749,negative,65.93007881876467,-1.0813055634498596,negative,all_negative,200
axisv3_case_03122,3122,6,1,5.337475804659005,-0.934429833456422,negative,33.083810366858785,118,-1.0920007021240037,negative,33.08381036685861,-1.205186665058136,negative,all_negative,200
axisv3_case_01961,1961,8,2,6.662024190177571,-1.5591958828239898,negative,64.93043795756329,122,-1.0378351389429317,negative,64.7654438311109,-1.1272027343511581,negative,all_negative,200
axisv3_case_01719,1719,7,1,4.777620917222792,-1.7341360111717279,negative,60.19243299800253,200,-1.0651201607588814,negative,60.19243299800253,-1.1284221410751343,negative,all_negative,200
axisv3_case_02316,2316,6,1,3.229212530940856,-0.6529131848292733,negative,62.78213380910277,187,-1.0704156438543833,negative,62.7505464217928,-1.1381728649139404,negative,all_negative,200
axisv3_case_00608,608,7,2,6.552769447402043,-0.9424967993054287,negative,65.92799582112087,186,-1.142711347179558,negative,65.59254545248663,-1.1516882926225662,negative,all_negative,200
axisv3_case_03509,3509,8,4,4.943583601515703,-0.8385155694667434,negative,65.33955702298934,10,-1.0928086080273347,negative,64.59450136590952,-1.2055463194847107,negative,all_negative,200
axisv3_case_01304,1304,8,1,7.680343673158435,-1.4281149649196165,negative,63.23972327002744,132,-1.043577418038479,negative,62.896019427979596,-1.2603600025177002,negative,all_negative,200
axisv3_case_00354,354,6,3,12.614041031392663,-0.5430346356610625,negative,66.27131220312639,182,-1.0634681090421183,negative,65.70314812806491,-1.1188863217830658,negative,all_negative,200
axisv3_case_02452,2452,5,2,2.6783924527864738,-0.7509897455190926,negative,3.2320297250890464,18,-0.8965725130971809,negative,3.232029725089045,-0.9184786184900086,negative,all_negative,200
axisv3_case_01849,1849,7,1,6.765282966359055,-1.323123594581227,negative,63.93401452275145,196,-1.026049244893491,negative,61.989097431689466,-0.9948493820947869,negative,all_negative,200
axisv3_case_00446,446,8,1,7.324297427371188,-1.2561456339504111,negative,61.26907626605582,193,-1.158395643624255,negative,61.107796333477374,-1.3877652883529663,negative,all_negative,200
axisv3_case_00426,426,7,2,17.09891035319616,-0.6265826502065812,negative,66.6830661143505,198,-1.031357014267357,negative,66.66393677971425,-1.0347748920321465,negative,all_negative,200
axisv3_case_03119,3119,8,4,23.496090248038403,-0.638167061531762,negative,66.11003723785316,33,-1.0346375818742333,negative,65.24838044132258,-1.124428614974022,negative,all_negative,200
axisv3_case_00887,887,7,1,6.244781781573034,-1.244404807965859,negative,9.839414801727534,120,-1.0491632955106385,negative,9.839414801727504,-1.0631888881325722,negative,all_negative,200
axisv3_case_02591,2591,7,3,14.73320896052708,-0.53215298429522,negative,67.64645179502551,174,-1.0431722415550735,negative,67.41816715102924,-1.0419490337371826,negative,all_negative,200
axisv3_case_01341,1341,5,3,1.7942647868732997,-0.37601733399369286,negative,68.88042527622761,198,-1.0160523408509246,negative,68.02628005971819,-1.0337375402450562,negative,all_negative,200
axisv3_case_01902,1902,8,1,7.069970152260837,-1.6355564410649284,negative,62.043755540739326,179,-1.0423471041129915,negative,57.90340284990264,-1.152400016784668,negative,all_negative,200
axisv3_case_02532,2532,7,2,8.039674019475468,-0.6493535391629647,negative,65.36539822018423,191,-1.0253266306232263,negative,65.29242663658195,-1.075126275420189,negative,all_negative,200
axisv3_case_03403,3403,6,4,5.581674132162329,-0.6677046071601003,negative,65.98701049825087,138,-1.0970073286531923,negative,64.02518980674809,-1.029990315437317,negative,all_negative,200
axisv3_case_03202,3202,8,1,5.038276735177478,-2.2815885330865644,negative,61.32841743311994,67,-1.3581474744739976,negative,61.32214529924821,-1.5340253710746765,negative,all_negative,200
axisv3_case_02376,2376,7,2,6.517725350404905,-0.7058865770075583,negative,66.41192635749408,195,-1.0173363128649309,negative,65.69997494021138,-1.0303198248147964,negative,all_negative,200
