case_id,variant,grid,baseline_score,candidate_score,score_delta,baseline_psi_angle_mean,baseline_psi_angle_p95,baseline_psi_angle_l2,candidate_psi_angle_mean,candidate_psi_angle_p95,candidate_psi_angle_l2,ratio_psi_angle_mean,ratio_psi_angle_p95,ratio_psi_angle_l2
2464204,psi_grid72,72,93.7914173834685,93.77182648233692,-0.01959090113157913,5.121041753371662e-06,2.2608593643264836e-05,3.9284659469642865e-06,6.2108500383019185e-06,2.3295590539435565e-05,5.430854601778653e-06,1.2128098807655168,1.0303865382787925,1.3824364714107638
2496228,psi_grid72,72,85.54996307578281,85.49558210294083,-0.054380972841983066,5.279360220975833e-06,1.6452938152410365e-05,5.2136378103318236e-06,6.562834683305862e-06,1.885672687399925e-05,7.179982615209951e-06,1.243111742447609,1.146100878719752,1.377154086342829
2527841,psi_grid72,72,80.29939447011373,80.30784758955886,0.008453119445135826,1.2129357291054034e-05,3.8577312730422586e-05,1.0911592762876215e-05,1.229531127069223e-05,3.809396243518463e-05,1.1283522580877367e-05,1.0136820093312442,0.9874706074366664,1.0340857495403004
2532462,psi_grid72,72,89.26833416791635,89.20791387442459,-0.06042029349175948,4.506073897771657e-06,2.0623020518429396e-05,3.17459199152233e-06,6.1394169903694335e-06,2.236723747326861e-05,5.303382347519048e-06,1.362475878037752,1.0845762119705271,1.6705713243407658
2535274,psi_grid72,72,79.26981155802405,79.19677824107464,-0.07303331694940596,7.558342217802598e-06,3.292123122507443e-05,5.397141073710529e-06,8.75207236106176e-06,3.4190714407668246e-05,7.215257392573689e-06,1.1579354452154205,1.0385612304082634,1.336866554724538
2549199,psi_grid72,72,20.919736050497743,20.089029379841442,-0.8307066706563013,8.611168122307074e-05,0.0003554771251822522,3.599529312671426e-05,8.765584729762304e-05,0.0003593772038398578,3.827738617861611e-05,1.0179321324658865,1.0109713913535394,1.0633997629597902
2551349,psi_grid72,72,78.03102458674576,78.0102802136439,-0.020744373101862834,2.8341296237213716e-05,0.00011468099724851918,1.7923536188250396e-05,2.86630423262821e-05,0.00011546565812221857,1.825847780488478e-05,1.0113525537567303,1.006842117635226,1.0186872508369165
2557786,psi_grid72,72,79.55275328685298,79.54354950374852,-0.009203783104453578,0.00012550939446769535,0.0003916761872554962,9.538600489033584e-05,0.00012624307955789863,0.00039097099318381425,9.879077043646023e-05,1.0058456587518008,0.9981995482630096,1.0356946026834735
1117971,psi_grid64,64,87.15304319068294,87.11267855504859,-0.04036463563434722,1.4081917121237076e-05,4.627568169832643e-05,1.0327868882761614e-05,1.4660556953833156e-05,4.8851583084217774e-05,1.0826889410969903e-05,1.0410909841049574,1.0556642558543767,1.048317860526019
1188492,psi_grid64,64,67.03251845353984,66.96788564964295,-0.06463280389688464,1.7049886802766503e-05,6.15371176972923e-05,1.0320474990681844e-05,1.7794109147732928e-05,6.425278994725327e-05,1.0997141723578994e-05,1.0436496941930236,1.0441306377610933,1.065565464138821
1328106,psi_grid64,64,89.37849001887294,89.34362307589896,-0.03486694297397719,3.3921136738992575e-05,0.00011113602642025706,3.327016448273409e-05,3.400807066107179e-05,0.00011249783553689257,3.3615587074296236e-05,1.0025628245523768,1.0122535343443526,1.0103823529860037
1410262,psi_grid64,64,88.87144242028842,88.86319521259966,-0.008247207688754088,1.600469524547169e-05,6.178381287369072e-05,9.006379050368995e-06,1.6216275711537563e-05,6.319149190010738e-05,9.17969752220438e-06,1.013219899711976,1.0227839455181325,1.0192439681770094
1410481,psi_grid64,64,81.35976174324477,81.36454346848677,0.004781725241997492,6.17775721341398e-05,0.00019908059121092556,4.3208095756661244e-05,6.195917525316065e-05,0.00019880068033657024,4.3209687998056406e-05,1.002939628618401,0.998593982102159,1.0000368505338475
