case_id,helicity,nfp,status,score,wall_s,metadata_qs_error,metadata_mean_iota,surface_level,inverse_aspect_ratio,iota,qs_global_error,qs_edge_error,flux_attempt_count
192615,0,2,ok,65.74260419674196,2.8415945824235678,6.127914763081526e-07,0.6,0.08,0.01990309668772602,0.4981520473957062,0.027998084637276204,0.03319357737079914,1
194083,0,2,ok,64.47742740412058,2.5991533920168877,2.1469086744867146e-09,0.7,0.02,0.012079237846543859,0.5342887043952942,0.01133095737369768,0.015237819417410366,1
194636,0,2,drift_rejected,44.352999513619935,2.1879885476082563,2.1990424426020468e-07,0.8,nan,nan,nan,nan,nan,0
197115,0,2,no_surface,28.89913977890604,2.5069750398397446,5.914458600458444e-10,0.1,nan,nan,nan,nan,nan,0
198490,0,2,ok,70.16707663066158,3.4020052887499332,5.930989902311931e-08,0.3,0.08,0.021013389453832777,0.28384000062942505,0.013371557676199974,0.01759483724327901,1
199840,0,2,ok,68.69655750597661,3.3295594695955515,1.8366850855703507e-08,0.5,0.08,0.020378713991494962,0.4338147044181824,0.016723720445982495,0.022406159343066286,2
200568,0,2,ok,65.9484684031522,3.282915296033025,6.988725855024117e-08,0.6,0.04,0.014790218232329164,0.4937380254268646,0.01484086429393026,0.019339119090638363,2
201013,0,2,ok,64.50889362487818,3.0021935403347015,9.772468999691553e-09,0.7,0.04,0.01591835787064,0.5435699224472046,0.01691343796364966,0.022288328240692455,1
201491,0,2,ok,64.2123853978342,3.093071036040783,4.3297273301584746e-09,0.7,0.02,0.01221623567133187,0.5283983945846558,0.011054238214406981,0.014873324917590157,2
201532,0,2,no_surface,29.420118153795823,2.4488578867167234,2.3151492940771236e-08,0.7,nan,nan,nan,nan,nan,0
203427,0,2,ok,78.02825953335407,3.7675461564213037,1.4664165261140933e-10,0.1,0.36,0.03434909300082001,0.09620208293199539,0.007739562553794631,0.01029522848345644,2
205538,0,2,ok,60.60817890537109,3.171996457502246,7.809053391591906e-07,0.7,0.04,0.014075077483191435,0.5426144003868103,0.03127276904421265,0.034317705696135695,1
206752,0,2,ok,78.29926771016088,4.251413671299815,1.1624285680167391e-11,0.1,0.36,0.033421194914032386,0.0964096263051033,0.007863967226105866,0.010500793389064865,2
207595,0,2,ok,65.54328771385164,3.706386039033532,1.2492495889136302e-09,0.6,0.04,0.015213879651063458,0.4910295009613037,0.013668482900767866,0.018439088584123804,1
208773,0,3,ok,67.30117638014177,2.236349556595087,0.0002271247240065505,0.1,0.08,0.022837193065498265,0.11728719621896744,0.20474582018600648,0.20515935985303488,4
209972,0,3,ok,74.1072851992888,2.192579321563244,3.9885676663677537e-07,0.2,0.25,0.03136218497908987,0.19681447744369507,0.023031218624292065,0.02707667737076937,1
210086,0,3,ok,71.2708112417483,2.234731687232852,4.332319258169393e-06,0.2,0.25,0.03329027952544733,0.23156829178333282,0.06562725012986347,0.06746259255352183,1
210189,0,3,ok,74.14313723242765,2.1875923480838537,1.3244239333717554e-08,0.2,0.25,0.03099476607009586,0.22543033957481384,0.019459539138813636,0.02408149274080345,1
210725,0,3,ok,69.4181471197848,2.216035161167383,0.0015815475272842744,0.3,0.25,0.03130969071803554,0.27509939670562744,0.16169766416192252,0.1673498119070644,1
211116,0,3,ok,66.8733003116187,2.1587988510727882,2.768524449807276e-05,0.3,0.08,0.021362474785450197,0.3017798066139221,0.09428697573494939,0.09572347118063254,1
212576,0,3,ok,64.4495520187243,2.2316456716507673,0.00010167545775604663,0.5,0.08,0.019734345035214314,0.42953693866729736,0.23698778502762932,0.23640472465307122,1
213921,0,3,ok,64.75344131052809,2.159129273146391,1.8753800796541178e-05,0.6,0.08,0.020448038203627037,0.5404914617538452,0.10881770063550807,0.11085774392592614,2
216064,0,3,ok,61.05546423302483,2.21776170283556,0.00014835940122761215,0.8,0.04,0.01527723103748567,0.6996259093284607,0.23069608763795202,0.23282738272717163,2
216436,0,3,no_surface,35.74093360568015,1.7083297036588192,8.341071273071627e-05,0.8,nan,nan,nan,nan,nan,0
216460,0,3,ok,57.17997214397299,2.1100184097886086,0.001470863187150746,0.8,0.008,0.00789629121711963,0.6806345582008362,0.6973176166153627,0.6973889656793343,1
217575,0,3,ok,62.989402012669125,2.2214160412549973,4.5611148429390805e-06,0.9,0.04,0.01672310189177919,0.7186465859413147,0.052536693659265915,0.058531628086435736,1
217876,0,3,no_surface,30.483771525563448,2.157593769952655,1.4107768408863316e-06,0.1,nan,nan,nan,nan,nan,0
217892,0,3,ok,73.39769226410166,2.9384529441595078,1.4399743521291772e-05,0.1,0.36,0.03597771804715034,0.13671456277370453,0.062338039980465755,0.06445845001957737,1
218051,0,3,ok,77.92904219163088,2.9384680781513453,1.2535287916890304e-07,0.1,0.36,0.03715157731255651,0.11761293560266495,0.013808163741298866,0.016826122245568675,1
218171,0,3,no_surface,31.731430694634742,2.1629411727190018,6.87861930462616e-07,0.1,nan,nan,nan,nan,nan,0
219795,0,3,ok,70.43688857415253,2.940835313871503,3.238001482953474e-07,0.2,0.08,0.021563713343867478,0.20242857933044434,0.015425269268163653,0.0172519766064969,1
220210,0,3,ok,67.18659038391861,2.877529976889491,2.1669843442399065e-05,0.3,0.08,0.02367103035411549,0.31205838918685913,0.07768252897435919,0.07943369595712582,1
221093,0,3,ok,67.56460296838364,2.8810911495238543,0.0009199790063708585,0.4,0.08,0.0204031611089039,0.36351826786994934,0.1173648602277616,0.11891630267666704,3
222058,0,3,ok,65.62089654248459,2.8810235410928726,0.00015310360076748407,0.5,0.08,0.02065628963489212,0.5057010650634766,0.1755225067938094,0.17834099316973326,3
222961,0,3,ok,66.95728027683188,2.920094771310687,0.000393141942312222,0.5,0.08,0.019682851695683776,0.4501659870147705,0.07413712854953437,0.07718821446796077,1
224024,0,3,ok,66.14932282503844,2.9382391553372145,5.695817574475852e-05,0.6,0.08,0.021334251714471314,0.5538823008537292,0.04540422182319481,0.05255687886680669,1
224248,0,3,ok,65.69915976891394,2.8373483028262854,3.356743929660486e-05,0.7,0.08,0.02094348587711533,0.6289636492729187,0.0763476417301333,0.08251617443705173,1
224627,0,3,ok,63.03068635185603,2.9608494825661182,4.5339554273140685e-05,0.7,0.04,0.016188690754999388,0.5937375426292419,0.13007723468140026,0.13191811396319406,1
224658,0,3,drift_rejected,32.33414059960635,2.2283721659332514,1.3784240126281879e-08,0.7,nan,nan,nan,nan,nan,0
227053,0,3,ok,64.36714817521752,2.8799252212047577,1.5351976234202097e-07,0.9,0.04,0.016507367339176994,0.7407862544059753,0.027298716231213768,0.03634488111862233,1
227138,0,3,ok,63.38851196849631,2.724642015993595,8.847238337258559e-07,0.9,0.02,0.012197141319636923,0.7465466260910034,0.02639387382366572,0.03138108354911681,1
227157,0,3,ok,63.0768555569491,2.760373132303357,5.735121985624023e-08,0.9,0.02,0.011611091389093955,0.7302529811859131,0.02010571493238075,0.026052257874515074,1
