case_id,worker_index,nfp,n_base_coils,status,score,iota_min,iota_max,score_wall_s
41,5,8,3,no_axis,0.114552481990774,nan,nan,3.6617187852971256
42,0,8,3,ok,13.234811943623473,2.189035107680728,2.3250845074653625,4.140944682061672
43,1,8,3,no_surface,0.24557248705330692,nan,nan,4.001409500837326
44,2,8,3,ok,10.033403423046854,2.4416357278823853,2.718217022658734,4.133584089577198
45,3,8,3,ok,4.042768634666785,2.547183240039376,2.7383543252944946,4.079127869103104
46,4,8,3,no_axis,0.11698905000218746,nan,nan,3.633026829920709
47,5,8,3,no_surface,0.2791987286636136,nan,nan,4.038348816335201
48,0,8,3,no_surface,0.2883319218286608,nan,nan,4.063532743602991
49,1,8,3,no_surface,0.2844396852287,nan,nan,3.999972678720951
50,2,8,3,no_axis,0.11984866945116401,nan,nan,3.6099871583282948
51,3,8,3,flux_rejected,0.3176827496998912,nan,nan,4.049309715162963
52,4,8,3,no_axis,0.11295775099387312,nan,nan,3.63293733401224
53,5,8,3,no_axis,0.11524222958601114,nan,nan,3.6615102370269597
54,0,8,3,ok,6.656579381039278,1.7774681746959686,1.8527523108654185,4.137527756392956
55,1,8,3,ok,24.28532600795645,1.8801067471504211,1.983851781675539,4.1484529338777065
56,2,8,3,no_surface,0.24348639022690716,nan,nan,3.9755135774612427
57,3,8,3,no_axis,0.11130145592360761,nan,nan,3.629679405130446
58,4,8,3,flux_rejected,0.26317334167264367,nan,nan,4.052516108844429
59,5,8,3,ok,24.214812674703214,1.9927611725565386,2.18533456325531,4.188130111899227
60,0,8,3,no_axis,0.1140338813479199,nan,nan,3.682072289288044
61,1,8,3,no_surface,0.2980818197908655,nan,nan,3.993272591382265
62,2,8,3,no_axis,0.11838170959617936,nan,nan,3.6039907038211823
63,3,8,3,no_surface,0.29490175733586876,nan,nan,4.005584087688476
64,4,8,3,ok,22.548489820804733,1.7937928214669228,1.8066137546673304,4.154335889033973
65,5,8,3,no_axis,0.11677622663328246,nan,nan,3.6711938502267003
66,0,8,3,no_axis,0.1177649963479146,nan,nan,3.6829677671194077
67,1,8,3,no_surface,0.25307685056841045,nan,nan,3.99221071600914
68,2,8,3,no_surface,0.27417844907848593,nan,nan,3.975337937474251
69,3,8,3,no_surface,0.25836454495439504,nan,nan,4.009202739223838
70,4,8,3,no_surface,0.24949103072766243,nan,nan,4.00765473023057
71,5,8,3,no_surface,0.26248360731178644,nan,nan,4.050521390046924
72,0,8,3,no_axis,0.11599226028728489,nan,nan,3.6767138615250587
73,1,8,3,no_axis,0.11451553836804858,nan,nan,3.6192054077982903
74,2,8,3,ok,7.657344438913789,1.8484682411214746,2.0446155071258545,4.050315842032433
75,3,8,3,no_surface,0.24291740380984655,nan,nan,4.005068717990071
76,4,8,3,no_surface,0.25398374989717803,nan,nan,4.006454681046307
77,5,8,3,no_axis,0.11665488551052682,nan,nan,3.671120402868837
78,0,8,3,no_surface,0.2570351443650207,nan,nan,4.057863514870405
79,1,8,3,no_axis,0.12150902611552164,nan,nan,3.616074576973915
80,2,8,3,ok,7.008375003057124,1.9122020602226257,2.041658034246466,4.05087061598897
81,3,8,3,no_surface,0.2874480440634588,nan,nan,4.005712129175663
82,4,8,3,no_axis,0.11683572593526032,nan,nan,3.6328492611646652
83,5,8,3,no_axis,0.12006121199166211,nan,nan,3.6678967936895788
84,0,8,3,no_surface,0.2737037507938896,nan,nan,4.060004644095898
85,1,8,3,ok,7.392169377029484,2.3936960482583975,2.4308518916368484,4.06466756388545
86,2,8,3,no_axis,0.1132304213863859,nan,nan,3.6030725426971912
87,3,8,3,no_axis,0.11231045242936295,nan,nan,3.6302378876134753
88,4,8,3,no_axis,0.11565565071026856,nan,nan,3.6327488687820733
89,5,8,3,no_surface,0.27320513018990666,nan,nan,4.045903325080872
90,0,8,3,ok,17.799120369058528,2.3408511036163238,2.42075849097304,4.1349069103598595
91,1,8,3,ok,4.724448598612264,2.5531448321852657,2.8691587448120117,4.065230205655098
92,2,8,3,no_surface,0.2996388048596755,nan,nan,3.973638340830803
93,3,8,3,no_axis,0.11711449561697725,nan,nan,3.631196688860655
94,4,8,3,ok,18.90508764445019,2.127755558537276,2.2282842695713043,4.162073114421219
95,5,8,3,no_axis,0.11377822010214425,nan,nan,3.666680419817567
