trajectory_id,case_id,worker_index,nfp,n_base_coils,initial_score,final_score,best_score,best_iteration,best_gain,trajectory_wall_s
axisv3_case_01408,1408,2,8,1,7.2612654408978345,13.210480033111294,15.03955560750672,18,7.778290166608886,553.1844183765352
axisv3_case_01434,1434,1,8,1,7.109931335499334,10.921870900499075,10.921870900499266,155,3.811939564999933,527.8853118307889
axisv3_case_01473,1473,2,7,3,11.90881088054407,65.90147397982577,66.22244914289175,192,54.31363826234768,1209.5806669779122
axisv3_case_01481,1481,2,8,4,20.37070946597271,64.28018150335899,65.7555172973651,120,45.38480783139239,1705.254661411047
axisv3_case_01511,1511,2,7,1,4.162820667585991,8.994352327149322,8.994352327149343,38,4.831531659563352,558.0640321448445
axisv3_case_01562,1562,4,6,1,6.959935436196917,64.15601719778411,64.64745060910896,132,57.68751517291204,650.255404766649
axisv3_case_01589,1589,0,7,1,2.1867886726468493,63.23542129914219,64.00673508944277,171,61.81994641679592,686.426003601402
axisv3_case_01616,1616,1,8,1,8.671329389620785,63.55362534931231,63.91779051304619,187,55.246461123425405,653.6263716630638
axisv3_case_01637,1637,0,8,4,35.04417413554778,65.5325986370867,65.86029196615522,190,30.81611783060744,1694.7423737719655
axisv3_case_01663,1663,0,8,4,11.581552719535903,65.22495657373334,65.63465552437249,175,54.053102804836584,1668.1430531404912
axisv3_case_01707,1707,4,7,3,5.588150604186243,66.04062042745302,66.39782462932243,129,60.80967402513619,1286.002463110257
axisv3_case_01718,1718,4,6,1,4.335507577858507,4.382556947259717,4.920867299736303,1,0.5853597218777962,965.9536764747463
axisv3_case_01719,1719,3,7,1,6.2050400794066976,60.19243299800253,60.19243299800253,200,53.98739291859583,601.322758924216
axisv3_case_01734,1734,0,8,3,28.825914542402646,65.85409483582758,66.19490171368787,93,37.36898717128523,1365.7859013974667
axisv3_case_01771,1771,2,7,1,6.802848092631531,62.323320090011755,62.32332009001178,108,55.52047199738025,565.379151828587
axisv3_case_01793,1793,2,8,4,2.72014757426157,64.34046244775126,64.9680371530367,166,62.24788957877514,1668.7345371618867
axisv3_case_01844,1844,4,7,4,15.270042297481032,65.16448376721817,65.79771836968338,126,50.52767607220235,1540.6242331089452
axisv3_case_01849,1849,3,7,1,6.892022469366668,61.989097431689466,63.93401452275145,196,57.04199205338478,656.4286635033786
axisv3_case_01861,1861,0,5,3,3.2446277478421517,64.44609909011835,66.6020660251977,180,63.35743827735555,962.7821171991527
axisv3_case_01882,1882,1,7,2,2.514558943136903,66.7169651881441,66.79249079990028,182,64.27793185676337,907.385157622397
axisv3_case_01902,1902,4,8,1,7.11828049384887,57.90340284990264,62.043755540739326,179,54.925475046890455,725.9328723219223
axisv3_case_01916,1916,4,8,3,4.269145585131093,64.86476551178372,67.0251793266478,50,62.75603374151671,1344.3871246539056
axisv3_case_01961,1961,3,8,2,6.90754665967105,64.7654438311109,64.93043795756329,122,58.02289129789224,1010.6517683118582
axisv3_case_01978,1978,0,6,1,3.1128604156717703,62.571437348760796,62.571437348760796,200,59.45857693308903,564.7905544117093
axisv3_case_02013,2013,0,8,2,5.405237670069931,65.3842516142395,65.81300742234662,159,60.407769752276685,1028.4834790490568
axisv3_case_02064,2064,1,7,2,10.602265104402424,65.95609606228787,66.27952726803905,188,55.67726216363663,889.1104689463973
axisv3_case_02123,2123,2,7,3,11.55494229269282,66.14102206308948,66.61349399636677,53,55.05855170367395,1211.4209681227803
axisv3_case_02143,2143,2,8,2,13.402192203062853,65.86454566673387,66.10268769839604,108,52.700495495333186,978.0045365169644
axisv3_case_02194,2194,4,7,2,6.508186820751048,63.859706750418624,65.35510916089241,163,58.84692234014136,923.788479198236
axisv3_case_02226,2226,4,6,3,9.617698150535512,66.20675621388804,66.55437168120466,173,56.93667353066915,1123.3848420083523
axisv3_case_02264,2264,1,6,1,8.14597339394054,64.89119681176913,64.89119681176913,200,56.7452234178286,630.3758169077337
axisv3_case_02313,2313,5,8,4,24.023176684121815,65.04658741209501,66.55397128153318,80,42.530794597411365,1720.1479979050346
axisv3_case_02316,2316,3,6,1,3.212198524874802,62.7505464217928,62.78213380910277,187,59.56993528422797,656.3054066263139
axisv3_case_02344,2344,2,8,1,12.890279003581714,61.598200090700615,62.690138998135524,112,49.79985999455381,602.2022568918765
axisv3_case_02376,2376,4,7,2,6.614588095136993,65.69997494021138,66.41192635749408,195,59.79733826235709,924.7337073148228
axisv3_case_02442,2442,5,7,4,15.721039472731244,62.83581912982973,65.30245196392922,178,49.58141249119797,1526.0402381159365
axisv3_case_02452,2452,3,5,2,2.7019996377421363,3.232029725089045,3.2320297250890464,18,0.5300300873469102,1290.2251245677471
axisv3_case_02462,2462,1,8,3,23.145351507969,65.93374841428748,66.21205278460349,48,43.06670127663449,1364.16820923239
axisv3_case_02473,2473,0,7,1,7.1175114944590945,62.60166148548214,63.69211927470469,198,56.57460778024559,623.6137131899595
axisv3_case_02474,2474,5,8,1,6.648286969477415,63.099665854693534,63.48332259274676,196,56.83503562326934,680.2392955818214
axisv3_case_02488,2488,1,8,3,14.966765589440344,64.09776222937184,66.70131414247203,62,51.734548553031686,1317.0952150337398
axisv3_case_02499,2499,2,7,1,5.214346913766357,60.510633110104216,61.14581854229825,113,55.931471628531895,567.0350571535528
axisv3_case_02500,2500,4,8,1,6.736547889078175,63.918741558780226,64.07961613466927,187,57.34306824559109,735.254573830869
axisv3_case_02532,2532,4,7,2,8.833346857840096,65.29242663658195,65.36539822018423,191,56.532051362344134,920.7186453668401
axisv3_case_02537,2537,0,5,3,2.581004809207477,67.798751848825,68.23729555972255,151,65.65629075051508,945.7801493369043
axisv3_case_02566,2566,5,8,3,10.518164156489227,65.64350224880495,65.7972581030691,145,55.27909394657987,1371.770048957318
axisv3_case_02591,2591,3,7,3,15.047782224738935,67.41816715102924,67.64645179502551,174,52.598669570286575,1217.482878562063
axisv3_case_02610,2610,0,7,2,5.234537286795701,66.20230221456579,66.28996566174223,174,61.05542837494653,900.6075891815126
axisv3_case_02628,2628,0,6,1,1.0550029039169553,1.5572325247543917,1.557232524754392,7,0.5022296208374366,962.6995845735073
axisv3_case_02654,2654,0,6,1,6.0645116106513335,7.211941263671876,7.3279666270636925,32,1.263455016412359,521.4573602080345
axisv3_case_02725,2725,0,4,4,0.6231365042166797,0.6112001543950962,0.6767912304859698,1,0.05365472626929013,1773.7069649286568
axisv3_case_02757,2757,0,5,1,2.8939034631743437,65.49582414204589,65.49582414204589,200,62.601920678871544,571.130772985518
axisv3_case_02766,2766,4,7,2,10.442306214545347,65.46852284800211,65.70143055001971,179,55.25912433547436,962.8810525541194
axisv3_case_02812,2812,5,8,1,7.429756494500549,63.42159536809233,63.59824652569459,176,56.16849003119404,717.8831008272246
axisv3_case_02818,2818,3,7,2,5.199013950469191,65.3893618827902,65.3893618827902,200,60.190347932321004,952.434057559818
axisv3_case_02825,2825,3,7,3,27.694805128590094,66.22812108801827,66.55228563728546,19,38.857480508695375,1219.567268114537
axisv3_case_02832,2832,2,7,4,20.22311593092156,67.21854150749942,67.24458726935931,191,47.021471338437756,1556.9205506108701
axisv3_case_02864,2864,1,8,1,7.664729236518438,64.3399703959924,64.49426989414597,184,56.82954065762753,662.6123844645917
axisv3_case_02894,2894,5,5,2,4.79921553119768,42.77433210132576,42.774332101326095,67,37.975116570128414,633.8762067253701
