abs_iota,best_iteration,case_id,component_axis,component_coil,component_coordinate,component_iota,component_psi,component_surface,component_volume_qs,inverse_aspect_ratio,n_base_coils,nfp,online_best_iteration,online_best_score,qa_error,qh_error,qp_error,score,score_wall_s,source,source_id,status,surface_level
nan,,p107_37034_2_000045:3,0.0,71.6214321303229,8.0,4.0,0.0,0.0,4.0,nan,2,4,,,nan,nan,nan,0.11709211815779136,,random_screen,,no_axis,nan
1.3619483268878814,,p107_37034_2_000045:4,99.3341206438373,62.13671546750563,94.03279212713201,100.0,99.71588383706658,94.24565581281026,51.821395583450226,0.03881965656755447,2,4,,,0.2489958993062784,0.04886580100690022,0.04143431068825327,75.46876862453416,,random_screen,,ok,0.6016801398083949
nan,,p107_37034_2_000045:5,93.54466313596023,63.58335078437535,8.0,4.0,4.967699752440604,3.99926802787139e-05,4.0,nan,2,4,,,nan,nan,nan,0.2423235535716707,,random_screen,,no_surface,nan
1.0549545373059985,,p107_37034_2_000045:6,91.92023618989566,64.37442693241479,72.01036588749649,52.492713583820326,95.51645210337757,58.3083836016073,41.38117684365649,0.022403353409199953,2,4,,,0.16543692307895846,0.038122978821932704,0.013483688875473895,30.895213324058528,,random_screen,,ok,0.16347077488114725
0.7623610092703079,,p107_37034_2_000045:7,91.25489697855555,64.4390892012039,83.292858922833,31.73399203701513,99.22720626294213,51.74080430127841,29.951452394253035,0.020895941972568343,2,4,,,0.23262040923538102,0.05523885818396206,0.012690798087166676,10.334973950223935,,random_screen,,ok,0.08460670533540604
1.1033004406929043,,p107_37034_2_000045:8,91.69456644236253,73.2539703281084,58.14924749728338,48.48267268656382,88.12018869130776,5.006630639568579,33.520246258332,0.005101993033479163,2,4,,,0.10222464045656876,0.024641339415057396,0.002891301701943484,4.3264881075959645,,random_screen,,ok,0.0062222206227698544
nan,,p107_37034_2_000045:9,0.0,61.52151719901211,8.0,4.0,0.0,0.0,4.0,nan,2,4,,,nan,nan,nan,0.10610341071252519,,random_screen,,no_axis,nan
nan,,p107_37034_2_000045:10,0.0,60.318417599953044,8.0,4.0,0.0,0.0,4.0,nan,2,4,,,nan,nan,nan,0.10479443834874894,,random_screen,,no_axis,nan
1.1773713677303883,,p107_37034_2_000045:11,91.16190383369226,64.31645727443515,76.1426157072339,48.56316999722806,98.05782208504576,42.27863999201353,48.703404205338416,0.017901941810822115,2,4,,,0.0759288821419521,0.015729530129972455,0.010380417342740944,32.87995921538968,,random_screen,,ok,0.0551702441075589
1.0023383418129157,,p107_37034_2_000045:12,93.38998625293972,65.0811483744412,68.06001431992065,42.06662978968092,93.71984808392455,49.18672214560076,39.03910071201708,0.02005833456870354,2,4,,,0.1448000999416734,0.03337082195196955,0.011475706636494309,23.79387967407394,,random_screen,,ok,0.07616986457534086
1.4814761782919916,,p107_37034_2_000045:13,90.2055729517284,58.925172978914105,69.9170655547942,100.0,97.40063554359863,22.284642477847992,29.517152549585962,0.01180502815407161,2,4,,,0.3753184956648682,0.090480211634528,0.0199928932249424,25.732965984559268,,random_screen,,ok,0.00842160769046155
0.8042112986207116,,p107_37034_2_000045:14,91.06288121161589,60.209335712645576,79.89401431536092,34.2807902394596,98.40541212077115,57.85988647365421,32.094411996114744,0.023055431821698565,2,4,,,0.22509067757322296,0.05304179745403426,0.013545395095707017,13.357634904618696,,random_screen,,ok,0.10785896281581178
0.9452319127608206,,p107_37034_2_000045:15,91.8479951788023,68.33291470019913,77.74470487752492,34.06771591271426,97.38812272854526,63.05196680577434,42.22736204328013,0.024292697251222017,2,4,,,0.11696136718599674,0.026490141938923663,0.01161005118934835,24.23887360454825,,random_screen,,ok,0.1754372368941354
1.0321103195736625,,p107_37034_2_000045:16,90.99457639506541,68.4549219017683,68.38159946672069,40.9535556629862,94.91599449593275,28.335236106407773,38.49238142937582,0.013653814779614352,2,4,,,0.09906294187805008,0.022910356789578985,0.007564357977785437,21.48632918164163,,random_screen,,ok,0.03575671700480887
0.7338671553594378,,p107_37034_2_000045:17,92.79910490656579,59.97201005517317,69.21805468117155,43.474628902694604,85.02252774455033,74.31411800334918,28.171924235342477,0.035536068082257656,2,4,,,0.37457206152151756,0.08662199304719745,0.027115695970624014,20.880431948072623,,random_screen,,ok,0.27415068821007005
0.7553155597308778,,p107_37034_2_000045:18,91.22556566864228,65.1154584366603,83.82151040691818,33.50531840779521,99.27014094285657,52.86257669267308,30.335238607708824,0.021105671670413717,2,4,,,0.23328076621650343,0.05558096651278041,0.01393435753667458,12.639384674039349,,random_screen,,ok,0.10510738440318598
nan,,p107_37034_2_000045:19,0.0,64.58179863466573,8.0,4.0,0.0,0.0,4.0,nan,2,4,,,nan,nan,nan,0.10943299691451631,,random_screen,,no_axis,nan
1.2136809761334724,,p107_37034_2_000045:20,92.38512897431696,62.072836942063006,73.39703485013335,69.95591093221631,96.43190459319769,45.55155540196028,40.07132691609033,0.01872819168167309,2,4,,,0.19763810681495017,0.0465749054433822,0.012181530434078438,27.11373798503539,,random_screen,,ok,0.08937952793201215
nan,,p107_37034_2_000045:21,0.0,61.17972889036262,8.0,4.0,0.0,0.0,4.0,nan,2,4,,,nan,nan,nan,0.10573154503271454,,random_screen,,no_axis,nan
nan,,p107_37034_2_000045:22,90.09503747318642,60.586514746638265,8.0,4.0,73.52120700369528,3.9992681076274994e-05,4.0,nan,2,4,,,nan,nan,nan,0.32760427492294786,,random_screen,,no_surface,nan
