best_global_score,best_global_status,best_iteration,best_online_score,final_online_score,initial_online_score,n_base_coils,nfp,optimization_wall_s,screening_wall_s,selected_global_score,trajectory_id,trajectory_wall_s
92.45057340803423,ok,190,92.4339890350516,92.33982959972238,76.43457567014426,2,4,948.0266113919206,79.9218672721181,76.43182526948054,p107_37034_2_000022,1027.949810163118
32.714527889637566,ok,1,32.711222447076956,20.63690993485983,29.54778317400606,5,2,2260.2974134320393,131.62846218911,29.562480429755247,p107_37034_2_000023,2391.9271804192103
92.91507046699978,ok,200,92.91471089177173,92.91471089177173,77.48644567263237,5,4,1454.1334114959463,148.96867156703956,77.50123283117655,p107_37034_2_000024,1603.1037178279366
90.72461540337862,ok,186,90.74447802846349,90.69713634935137,78.58121792294841,4,3,1105.1177449808456,118.07523531513289,78.5657881271618,p107_37034_2_000025,1223.1950067970902
90.9521190062753,ok,192,90.8913710282724,90.48347537469814,71.53448067148662,5,7,2120.164242645027,295.08654203405604,71.54486115007434,p107_37034_2_000026,2415.2697649390902
90.93642821076172,ok,155,90.96314549971817,90.9132839295405,78.26372406228849,5,4,1467.9802055789623,148.72115441597998,78.2877723512987,p107_37034_2_000027,1616.7029906921089
91.56661391662404,ok,199,91.64301189816369,91.64282377350258,79.84249317304095,3,5,1214.6158319248352,117.95532097108662,79.83123246635938,p107_37034_2_000028,1332.5723807830364
87.81388023623543,ok,90,87.85774917530075,85.8478986464987,78.27826315699762,3,3,917.8388574090786,103.11101663718,78.24019483029446,p107_37034_2_000029,1020.9511266760528
92.06495328580627,ok,189,92.16307798804402,92.07992884358843,74.48798388976513,2,4,951.4375219950452,102.28542476287112,74.47053923801015,p107_37034_2_000030,1053.7242558877915
90.52147582572405,ok,197,90.66965630780246,90.60509581739788,66.32674466544242,2,3,858.5645226559136,86.5964587610215,66.35142104502155,p107_37034_2_000031,945.1890812080819
73.25268813798287,ok,55,73.24627694511877,71.37308803601593,17.304194144167667,1,5,755.00753992307,99.1722303899005,17.3351304053524,p107_37034_2_000032,854.1819140589796
90.33960310304644,ok,57,90.33767310644049,89.33937981444272,81.82748600204387,3,4,929.7468510740437,114.87405907106586,81.83974901737726,p107_37034_2_000033,1044.6221814700402
91.94437314886056,ok,193,91.94190577066823,91.86943883362248,77.01896027036989,4,4,1262.372420560103,113.86754906317219,76.98283599001068,p107_37034_2_000034,1376.241630197037
92.39236179159055,ok,195,92.39649977104581,91.74431864675347,80.74970631131109,4,5,1425.966434455011,139.60584779502824,80.75351379264661,p107_37034_2_000035,1565.5739208660088
92.48886081946945,ok,187,92.48599417819817,92.35451127108404,77.31807559581996,3,4,1125.2964976171497,121.93496499513276,77.3654367668949,p107_37034_2_000036,1247.232688877033
92.21992311796424,ok,198,92.22420967708304,92.18699550177944,79.15633955522169,4,5,1435.0000950319227,132.60103595117107,79.0620375020756,p107_37034_2_000037,1567.6023765760474
73.05552390330466,ok,0,73.05237416210349,62.1349320354862,73.05237416210349,5,3,2589.007847525878,167.81550757586956,73.05992903627596,p107_37034_2_000038,2756.8250147600193
27.196170010477093,ok,1,27.213665780071818,17.993115404520367,22.939337733952378,3,2,2301.172116793925,111.7617188889999,22.996196312727665,p107_37034_2_000039,2412.936465019826
92.90324784312823,ok,180,92.9161834441674,92.74751084246483,79.43939354532122,3,5,1237.9585096321534,141.36083744699135,79.4259993176344,p107_37034_2_000040,1379.320669259876
86.63207880301556,ok,197,86.67009242969539,86.65617677271867,74.67217995067222,2,5,1024.0996320049744,88.59839326702058,74.8825145903238,p107_37034_2_000041,1112.6992695939261
91.46462465543766,ok,199,91.46051376011202,91.45466629590665,77.6616083901919,4,5,1371.8632977369707,163.5270399588626,77.71018985807106,p107_37034_2_000042,1535.3921669460833
87.41634097918134,ok,197,87.5111300051221,87.4194287184059,76.6935782478158,2,5,1016.5809271209873,102.23636428499594,76.66263789830187,p107_37034_2_000043,1118.8185445151757
85.36443850807679,ok,81,85.36188953741005,84.14715135716015,77.11452526580393,3,5,1116.1862907628529,124.89104062598199,77.11702989770252,p107_37034_2_000044,1241.0796021681745
86.8618737262362,ok,183,86.85321997727367,86.25607024027997,75.491389740148,2,4,941.3200285090134,76.66427470906638,75.46876862453416,p107_37034_2_000045,1017.9855772980954
90.79279167153359,ok,195,90.7929147216082,90.67776317145524,74.36992849939595,3,7,1455.9713341090828,184.03504733904265,74.29683610632819,p107_37034_2_000046,1640.0258322600275
90.97628596393666,ok,200,90.99374119288105,90.99374119288105,72.58494626731589,5,4,1914.4461204169784,147.05184379802085,72.55252524685243,p107_37034_2_000047,2061.4992141830735
89.16935362392331,ok,185,89.18583425493624,88.76154252473569,77.17360814984731,4,4,1276.036356065888,138.5446753441356,77.17603859710529,p107_37034_2_000048,1414.58273903816
87.72309726547117,ok,26,87.75297791594453,86.00023994603724,78.86211687795095,4,4,1280.9541699588299,128.465219510952,78.81018406928092,p107_37034_2_000049,1409.421753094066
81.33685018217399,ok,8,81.32838775879365,66.93092093233814,71.610408897837,4,3,952.9356566451024,114.44009432103485,71.70682601668055,p107_37034_2_000050,1067.3774191460107
89.51091682455626,ok,72,89.56817417266035,88.43335309983634,73.6623676417481,3,3,996.4489941319916,89.50742019200698,73.6194718978555,p107_37034_2_000051,1085.9582066680305
72.7381258464809,ok,20,72.75394459230532,60.817155726955306,66.6893411797888,4,3,1653.2741721030325,121.61654699291103,66.71166087519464,p107_37034_2_000052,1774.9106187019497
90.46483197293753,ok,198,90.46157655080339,90.39164768098561,78.31004746246057,3,7,1387.5398543719202,136.90232931287028,78.28706178253256,p107_37034_3_000001,1524.4429215590935
88.47099549505303,ok,182,88.46615293872979,88.42173001219786,78.84572980051954,4,4,1211.4408506839536,120.49580862512812,78.86098180841485,p107_37034_3_000002,1331.9373470540158
90.1798000636105,ok,194,90.19330346866396,89.91114241609367,74.98202883288822,2,5,996.0786376849283,87.86431999504566,75.09080225069192,p107_37034_3_000003,1083.9436075259
92.96153845193123,ok,174,92.98300098301328,92.85877520171087,75.25034441499258,3,4,1055.3799514239654,101.75553029798903,75.2623896300517,p107_37034_3_000004,1157.136180022033
