pair,case_id,reference_score,candidate_score,score_delta,reference_axis_R,reference_axis_Z,reference_axis_residual,reference_axis_topology_trace,reference_axis_topology_det,reference_axis_ellipse_aspect,reference_psi_angle_p95,reference_psi_angle_l2,reference_surface_effective_level,reference_surface_drift_relative_p95,reference_alpha_normal_B_relative_l2,reference_iota_min,reference_qs_target_global_error_per_helicity,candidate_axis_R,candidate_axis_Z,candidate_axis_residual,candidate_axis_topology_trace,candidate_axis_topology_det,candidate_axis_ellipse_aspect,candidate_psi_angle_p95,candidate_psi_angle_l2,candidate_surface_effective_level,candidate_surface_drift_relative_p95,candidate_alpha_normal_B_relative_l2,candidate_iota_min,candidate_qs_target_global_error_per_helicity
Exact hint,1985999,93.42013468176333,93.42909931617169,0.008964634408357597,0.8657847157341775,4.069418401123797e-09,2.2470947931873e-08,-1.3322056771033588,1.0000004955963808,1.6013254359376723,3.4931556218241694e-05,7.408837884652674e-06,0.5797087427709255,0.0029171216530026038,2.081054460713444e-05,2.563722848892212,0.0018175549195250283,0.8657847157341775,4.069418401123797e-09,1.7783117073561e-08,-1.3322070189927244,0.9999997718998627,1.6013292747073853,3.4931556218241694e-05,7.408837884652674e-06,0.5797087427709255,0.0029171216530026038,2.081054460713444e-05,2.563722848892212,0.0018175549195250408
Exact hint,2021486,79.82845892380848,79.82265555171166,-0.0058033720968211355,0.8496399696456511,1.4603498241604735e-10,7.576930699957338e-10,-1.2939240136383185,1.0000005058731143,1.0991247612270654,6.385162453096717e-05,2.0774238500818434e-05,0.36,0.01356382495108968,3.303919684851635e-05,2.4908599853515625,0.024455002112816416,0.8496399696456511,1.4603498241604735e-10,2.555248100987461e-09,-1.2939327685689535,1.0000102708951015,1.0991195717391922,6.385162453096717e-05,2.0774238500818434e-05,0.36,0.01356382495108968,3.303919684851635e-05,2.4908599853515625,0.02445500211281646
Exact hint,2425297,90.18228535292903,90.21754689940906,0.03526154648002944,1.1460713870147714,6.413770692221721e-09,1.707938981985254e-08,-0.12668030973406835,1.0000002642214871,2.951725988082094,5.00091395889521e-05,1.3654146371870492e-05,0.2566504656798182,0.04147080884119982,2.6936450425077205e-05,1.223950982093811,0.0020368833057926054,1.1460713870147714,6.413770692221721e-09,1.8585565510102458e-09,-0.12669731305810608,1.0000137145976888,2.9517136521900413,5.00091395889521e-05,1.3654146371870492e-05,0.2566504656798182,0.04147080884119982,2.6936450425077215e-05,1.223950982093811,0.002036883305792609
Exact hint,2426393,78.68819979072954,78.6818076709382,-0.0063921197913430206,1.1815092287256361,-6.814427184961937e-10,7.478382521905879e-09,-1.4699957288371073,1.0000035244917957,6.138986484801098,0.0003810361559945382,4.368196283187041e-05,0.10240888264163585,0.05963022350252162,0.0002907922383453485,1.5028355121612549,0.0030598845762906616,1.1815092287256361,-6.814427184961937e-10,1.0297326438227192e-08,-1.4699825200432064,1.0000118801285274,6.138883520148238,0.0003810361559945382,4.368196283187041e-05,0.10240888264163585,0.05963022350252162,0.00029079223834534856,1.5028355121612549,0.003059884576290667
Exact hint,2428769,83.88723393178077,83.90888817292226,0.021654241141490616,1.127279433716972,-1.2008340578670595e-09,1.7075717419154968e-08,-0.8821207224486878,0.9999987016689761,3.8683534297993054,0.0001585083903376122,1.6921302413761997e-05,0.16983243739014253,0.03139672176711622,0.00011374653743084933,1.3700268268585205,0.003398121825304691,1.127279433716972,-1.2008340578670595e-09,6.982286388808346e-09,-0.8821160323947486,1.0000112227320617,3.8683205459263705,0.0001585083903376122,1.6921302413761997e-05,0.16983243739014253,0.03139672176711622,0.00011374653743084933,1.3700268268585205,0.0033981218253046944
Exact hint,2429760,61.24669146981617,61.25609261722119,0.009401147405021959,1.0659780514273365,2.698412281353059e-09,1.155272019445243e-08,-1.5855522823581314,1.0000044058033226,9.529789301111473,0.00011105494223800024,1.0139852410533269e-05,0.023131362747362667,0.1111046027748657,9.799334784014739e-05,1.4170570373535156,0.017974852975024415,1.0659780514273365,2.698412281353059e-09,6.762890210992108e-09,-1.585584849524838,1.0000077107365952,9.530097874405135,0.00011105494223800024,1.0139852410533269e-05,0.023131362747362667,0.1111046027748657,9.79933478401473e-05,1.4170570373535156,0.017974852975024457
Exact hint,2442111,87.05590626875592,87.05478336720641,-0.00112290154950756,1.4514414404816522,2.250685398562718e-09,7.007679602855842e-09,-1.9034835472578178,1.0000005510226115,1.1492473478797163,0.0002275152842087322,5.2832436270397824e-05,0.19434474075337055,0.04909741443424271,9.324575147237358e-05,1.6290550231933594,0.0017463526776317656,1.4514414404816522,2.250685398562718e-09,7.485430170636429e-09,-1.9034936013109576,1.0000146574719366,1.1492382431722405,0.0002275152842087322,5.2832436270397824e-05,0.19434474075337055,0.04909741443424271,9.324575147237359e-05,1.6290550231933594,0.0017463526776317713
Exact hint,2452803,92.05189536202941,92.05004971158137,-0.0018456504480468539,0.8011600067370173,1.0135700523662902e-10,1.3541857676675612e-09,-0.8945521823896869,0.9999999831311556,2.0830859842868987,4.026632806885805e-05,9.462308153358818e-06,0.3168927092435538,0.009069723104986514,2.3693082689680364e-05,1.254692554473877,0.0008707582706768301,0.8011600067370173,1.0135700523662902e-10,1.9327185631098386e-09,-0.8945440797377271,1.0000081365083848,2.083071422746468,4.026632806885805e-05,9.462308153358818e-06,0.3168927092435538,0.009069723104986514,2.3693082689680364e-05,1.254692554473877,0.0008707582706768315
Exact hint,2453768,92.34350050526868,92.35981321503391,0.016312709765230693,0.769926300484378,1.908976646548176e-10,6.070450204683078e-09,-1.6539976949751458,1.0000008635035031,2.1834419828035734,6.393452156215473e-05,2.3287232071908364e-05,0.39533091726228425,0.03241179493455651,2.647887178612613e-05,1.6134132146835327,0.0010810525932329054,0.769926300484378,1.908976646548176e-10,4.5176358234745185e-10,-1.6539941507407256,1.000009879725352,2.183410586324374,6.393452156215473e-05,2.3287232071908364e-05,0.39533091726228425,0.03241179493455651,2.6478871786126127e-05,1.6134132146835327,0.0010810525932329063
Exact hint,2459461,92.41613859683603,92.4217948313616,0.005656234525559967,0.8508262400119401,1.1340568600126221e-09,2.232563776619852e-09,-0.3376127998874916,0.9999998624553993,1.802940561637979,3.0280628501315555e-05,1.0114947107065987e-05,0.40947403862784093,0.00017399628092959983,1.5363301130552665e-05,1.3669078350067139,0.001718277817358291,0.8508262400119401,1.1340568600126221e-09,5.482912541306008e-10,-0.33762099498555775,0.9999995888212461,1.802943800064488,3.0280628501315555e-05,1.0114947107065987e-05,0.40947403862784093,0.00017399628092959983,1.5363301130552665e-05,1.3669078350067139,0.0017182778173582959
