run_name,learning_rate,beta1,random_directions_k,total_directions_per_step,initial_score,final_score,best_score,score_gain,best_iteration,accepted_steps,adam_accepted_steps,probe_accepted_steps,branch_accepted_steps,rejected_steps,g3_valid_steps,valid_direction_count,valid_direction_fraction,evaluated_directions,blackbox_score_calls,score_calls_per_direction,total_wall_s,mean_iteration_wall_s,best_qh_error,best_qa_error,best_qp_error,best_iota,best_surface_level,best_component_axis,best_component_psi,best_component_surface,best_component_coordinate,best_component_volume_qs,best_component_iota,best_component_coil
lr_0p01_b1_0p5_k_1,0.01,0.5,1,2,85.83967989612673,88.50215031489114,88.50215031489114,2.662470418764414,65,26,15,5,6,74,4,58,0.29,200,613,3.065,4301.339196834015,42.81296698778053,0.03628776098445404,0.12184410961420926,0.029346315743321236,1.6060385704040527,0.36,97.37054439479292,97.78446042070266,97.77402212804374,86.99584570858822,83.32381182489512,100.0,68.92077604028027
lr_0p003_b1_0p9_k_2,0.003,0.9,2,3,85.83967989612673,87.85925882059266,87.85925882059266,2.0195789244659323,78,22,11,6,5,78,3,161,0.5366666666666666,300,963,3.21,6874.799206907977,68.55381953739445,0.040529447247999124,0.12289702388866118,0.029238315962014188,1.6042542457580566,0.36,97.37321371897531,97.71107914574596,97.22528593730222,86.97592819315457,81.92915083137002,100.0,69.0058096487431
lr_0p003_b1_0p5_k_2,0.003,0.5,2,3,85.83967989612673,87.83976859152327,87.83976859152327,2.000088695396542,90,25,12,11,2,75,3,140,0.4666666666666667,300,932,3.1066666666666665,6549.416865001083,65.30128024585545,0.04050230116365445,0.12281445865671088,0.029218812290365753,1.6042314767837524,0.36,97.32455935692273,97.69779653480312,97.19890445321181,86.85203022811537,81.93884550687316,100.0,68.9765552666404
lr_0p003_b1_0p9_k_1,0.003,0.9,1,2,85.83967989612673,87.82899218649501,87.82899218649501,1.9893122903682894,93,26,18,8,0,74,3,89,0.445,200,741,3.705,5157.892666649073,51.33240707454621,0.03983273260245824,0.12236092828998427,0.029164245691323025,1.5916211605072021,0.36,97.22489039830714,97.72714249875865,96.15141066316852,86.8662235863329,82.1492244861866,100.0,69.11688984549893
lr_0p003_b1_0p7_k_2,0.003,0.7,2,3,85.83967989612673,87.75990865111069,87.75990865111069,1.9202287549839667,86,19,9,7,3,81,3,155,0.5166666666666667,300,944,3.1466666666666665,6742.7891242620535,67.23086895482265,0.04113709771685493,0.12312283372697046,0.02926826724312128,1.6037205457687378,0.36,97.43862456329876,97.69889967890637,97.19061094903937,86.77452459894197,81.73362198529585,100.0,69.01901797834722
lr_0p003_b1_0p5_k_1,0.003,0.5,1,2,85.83967989612673,87.73077531808265,87.73077531808265,1.8910954219559244,83,15,4,10,1,85,3,90,0.45,200,753,3.765,5457.780656395946,54.37298611800419,0.04078373267277916,0.12299324090700033,0.0292714909344638,1.5941468477249146,0.36,97.2890618547998,97.71254592313532,96.46397140033372,86.88145163979429,81.84601370248025,100.0,69.009331015433
lr_0p003_b1_0p7_k_1,0.003,0.7,1,2,85.83967989612673,87.62592016083568,87.62592016083568,1.786240264708951,98,14,7,7,0,86,3,95,0.475,200,777,3.885,5682.254889916978,56.62284189282451,0.041301998377335426,0.12303108380055819,0.029238665269183204,1.591370701789856,0.36,97.25848623718359,97.72516234852236,96.2144558774057,86.79898058335738,81.67801033497285,100.0,69.01809144375234
lr_0p003_b1_0p5_k_0,0.003,0.5,0,1,85.83967989612673,87.37593701909695,87.37593701909695,1.5362571229702269,3,3,1,2,0,97,3,3,0.03,100,214,2.14,1564.230665539042,15.442973481169902,0.042477111983621564,0.12335542082656407,0.029220256447879022,1.5855228900909424,0.36,96.94764812956609,97.7081715857836,95.6036562905059,86.74714139186918,81.30384861341415,100.0,69.09573577113177
lr_0p003_b1_0p9_k_0,0.003,0.9,0,1,85.83967989612673,87.37593701909695,87.37593701909695,1.5362571229702269,3,3,1,2,0,97,3,3,0.03,100,214,2.14,1564.9880713920575,15.456413637542864,0.04247711198362166,0.12335542082656435,0.029220256447879022,1.5855228900909424,0.36,96.94764812956609,97.7081715857836,95.6036562905059,86.74714139186918,81.30384861341412,100.0,69.09573577113177
lr_0p003_b1_0p7_k_0,0.003,0.7,0,1,85.83967989612673,87.37593701909692,87.37593701909692,1.5362571229701985,3,3,1,2,0,97,3,3,0.03,100,214,2.14,1565.4191710859304,15.445108281434514,0.04247711198362184,0.12335542082656419,0.02922025644787888,1.5855228900909424,0.36,96.94764812956609,97.7081715857836,95.6036562905059,86.74714139186918,81.30384861341408,100.0,69.09573577113177
