trajectory_id,nfp,n_base_coils,start_face_qh,endpoint_face_qh,best_observed_later_face_qh,best_observed_later_iteration
p107_37034_2_000043,5,2,0.0004513457157701213,4.13103518886584e-05,4.13103518886584e-05,200
p107_37034_2_000044,5,3,0.00011855742602313114,4.667759786991416e-05,3.685586398541438e-05,50
p107_37034_2_000051,3,3,0.00023192763775148082,3.4575171737523896e-06,7.433837683456868e-07,100
p107_37034_3_000002,4,4,0.0001398562900200575,2.0548775556099885e-05,1.812043867559667e-05,150
p107_37034_3_000005,8,1,0.00041339430512709057,0.0001008478825692269,8.611492328319397e-05,100
p107_37034_3_000006,4,3,9.383021669410166e-05,2.3573164172229573e-07,2.3573164172229573e-07,200
p107_37034_3_000010,5,2,0.0007068118381813131,1.1673947725556995e-06,3.438745533485268e-07,150
p107_37034_3_000013,4,2,0.00010593327130042633,5.828721733941105e-07,5.828721733941105e-07,200
p107_37034_3_000016,3,4,0.00045099676590238633,1.70021754289137e-05,7.433162733364964e-06,150
p107_37034_3_000017,2,4,0.0002917479840572613,,,
p107_37034_3_000018,4,3,0.0002070157922269064,7.570385875381449e-08,6.687032119376034e-08,150
p107_37034_3_000024,5,2,0.0018308506615505084,2.3031496836789388e-06,2.3031496836789388e-06,200
p107_37034_3_000027,8,2,0.0014162268522796703,0.0005172981859648842,0.00032194892838894224,10
p107_37034_3_000033,4,3,0.0001833306640343912,1.1816370350735151e-07,1.1816370350735151e-07,200
p107_37034_3_000034,3,5,0.0006313800389830616,,,
p107_37034_3_000045,3,5,0.00012230541469306712,,4.289641964567049e-06,25
p107_37034_3_000046,5,2,0.0002114718192964882,2.8943554860888627e-07,2.464558352762193e-07,150
p107_37034_3_000047,4,4,0.0002587947463082255,8.372531000972645e-07,8.372531000972645e-07,200
p107_37034_3_000050,7,1,0.0008981853252012088,0.0004466908789180274,0.00011981224413461369,25
student_37035_0_000001,5,3,0.0004242677953984626,4.98796174358394e-07,4.98796174358394e-07,200
student_37035_0_000002,4,2,4.9711587846364114e-05,1.5655357665441554e-06,1.5655357665441554e-06,200
student_37035_0_000005,3,4,0.0006264327474781084,0.0004672596972701337,5.575686898869781e-05,25
student_37035_0_000011,4,2,5.56057910024877e-05,3.690857823466691e-07,3.690857823466691e-07,200
student_37035_0_000012,5,3,0.00012000987387327409,6.350021393221881e-07,6.350021393221881e-07,200
student_37035_0_000014,6,2,0.0015688421001743512,2.6197788300444967e-06,2.6197788300444967e-06,200
student_37035_0_000015,5,3,1.4382417671277534e-05,8.299770334919502e-07,8.299770334919502e-07,200
student_37035_0_000022,3,3,0.00028273748505825585,1.1819185096569583e-06,1.067290334908821e-06,150
student_37035_0_000025,5,3,7.140960234381882e-05,4.09857323036816e-05,2.8732580024564313e-05,75
student_37035_0_000027,7,2,0.0018989674920516677,0.00046049229182169724,0.0003359649665263519,150
student_37035_0_000030,5,4,0.0006151491967150374,8.49427569848199e-05,8.031691774414078e-05,75
student_37035_0_000031,5,2,0.0005337244525202291,,3.909818443024862e-05,150
student_37035_0_000033,3,4,0.00034152623099923616,,,
student_37035_0_000035,4,2,0.00031566119019100727,0.0002064818078341334,0.0002064818078341334,200
student_37035_0_000037,5,5,0.0005333939434006946,6.030488659539753e-06,6.030488659539753e-06,200
student_37035_0_000038,7,2,0.0015766746068457496,6.2705031466382306e-06,3.6094121154510473e-06,75
student_37035_0_000039,4,4,0.00040858264651430395,5.363498437122366e-07,5.363498437122366e-07,200
student_37035_0_000044,4,4,0.0003809756023102615,0.0006512770627763803,0.00046081221858089346,25
student_37035_0_000050,4,4,0.00015544079942071302,3.561736032375071e-07,3.561736032375071e-07,200
student_37035_1_000001,5,2,0.0018267484694020483,5.799350690384935e-05,5.799350690384935e-05,200
student_37035_1_000004,4,4,0.00011106935482500249,1.9956740146499457e-07,9.846978633711054e-08,150
student_37035_1_000011,5,2,0.0008747616451384591,4.3528500667400456e-05,4.3528500667400456e-05,50
student_37035_1_000012,5,2,0.00013289687097748333,1.0183187192528328e-05,1.0183187192528328e-05,200
student_37035_1_000016,3,3,0.002307319376148843,,,
student_37035_1_000019,5,4,5.1182984257895726e-05,6.026683955500971e-06,3.2963037287634567e-06,75
student_37035_1_000033,5,3,9.49353837452454e-05,0.00019444322242166847,4.223615999742913e-06,25
student_37035_1_000037,5,2,0.00013098505798735965,1.9166844854542583e-05,1.9166844854542583e-05,200
student_37035_1_000040,5,4,0.0001719553811388744,7.976833841262874e-07,7.976833841262874e-07,200
